layer_type,stack,thickness,points,xmesh_coeff,EA,IP,E0,Et,Nc,Nv,Ncat,Nani,DOScat,DOSani,mue,muh,mucat,muani,epp,G0,krad,taun,taup,sn_l,sn_r,sp_l,sp_r,Phi_left,Phi_right,OM,xmesh_type,side,N_ionic_species
layer,TiO2,2.00E-06,60,0.5,-4,-7.2,-4.0774,-5.6,1.00E+21,2.00E+20,1.00E+19,1.00E+19,1.21E+22,1.21E+22,6.00E-03,6.00E-03,0.00E+00,0.00E+00,1.00E+02,0.00E+00,3.61E-14,2.00E-06,2.00E-06,1.00E+07,1.00E+07,1.00E+07,1.00E+07,-4.0774,-4.9909,1.00E+00,5.00E+00,1.00E+00,1.00E+00
junction,,1.00E-07,70,0.7, ,,,,,,,,,,,,,,,,,2.00E-06,2.00E-06,,,,,,,,,,
active,MAPICl,5.40E-05,400,0.7,-3.93,-5.43,-4.68,-4.68,2.50E+20,2.50E+20,1.00E+19,1.00E+19,1.21E+22,1.21E+22,1.00E+01,1.00E+01,1.00E-10,1.00E-10,2.50E+01,2.64E+21,4.79E-15,2.00E-06,2.00E-06,,,,,,,,,,
junction,,1.00E-07,70,0.7,,,,,,,,,,,,,,,,,,2.00E-06,2.00E-06,,,,,,,,,,
layer,Spiro,2.00E-05,200,0.7,-2.2,-5.11,-4.9909,-3.655,1.00E+20,1.00E+20,1.00E+19,1.00E+19,1.21E+22,1.21E+22,1.00E-03,1.00E-03,0.00E+00,0.00E+00,3.00E+00,0.00E+00,2.99E-13,2.00E-06,2.00E-06,,,,,,,,,,
