layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-0.85,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,uniform,erf-linear,left,1.00E+00
active,Si,2.00E-05,200,0.7,0,-1,-0.85,-0.8,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1,1,1.00E-10,1.00E-10,4.00E+00,1.00E+21,3.18E-11,1.00E-07,1.00E-07,,,1,0.87,0.87,,,,
active,Si,2.00E-05,200,0.7,0,-1,-0.15,-0.8,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1,1,0.00E+00,0.00E+00,4.00E+00,1.00E+21,3.18E-11,1.00E-07,1.00E-07,,,0.85,0.92,1,,,,
electrode,,,,,,,-0.15,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,
