layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-0.9,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,uniform,erf-linear,left,1.00E+00
active,SiO2,2.00E-05,140,0.7,0.4,-1,-0.9,-0.5,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E-02,1.00E-02,0.00E+00,0.00E+00,1.20E+01,1.00E+21,3.18E-11,1.00E-03,1.00E-03,,,,0.85,0.95,0.7,,,,
interface,,2.00E-07,120,0.7,-0.2,-1.2,-0.7,-0.7,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E+06,1.00E+06,0.00E+00,0.00E+00,1.20E+01,0.00E+00,0.00E+00,1.00E+100,1.00E+100,1.00E-20,1.00E-20,C,1,0.9,0.7,,,,
active,SiO2,2.00E-05,140,0.7,-0.4,-1.6,-0.5,-0.9,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E-03,1.00E-03,0.00E+00,0.00E+00,1.20E+01,1.00E+21,3.18E-11,1.00E-03,1.00E-03,,,,0.8,0.9,1,,,,
electrode,,,,,,,-0.5,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,,
