layer_type,stack,thickness,points,EA,IP,E0,Et_bulk,Nc,Nv,Ncat,Nani,DOScat,DOSani,mue,muh,mucat,muani,epp,G0,krad,taun_SRH,taup_SRH,sn_l,sn_r,sp_l,sp_r,Rs,PhiA,PhiC,xmesh_type,No_ionic_species
layer,TiO2,2.00E-06,20,-4,-7.2,-4.0774,-5.6,1.00E+21,2.00E+20,0.00E+00,0.00E+00,1.00E-06,1.00E-06,6.00E-03,6.00E-03,0.00E+00,0.00E+00,1.00E+02,0.00E+00,3.61E-14,2.00E-06,2.00E-06,1.00E+07,1.00E+07,1.00E+07,1.00E+07,0.00E+00,-4.0774,-4.99E+00,5.00E+00,2.00E+00
junction,,2.00E-07,60, ,,,,,,,,,,,,,,,,,2.00E-06,2.00E-06,,,,,,,,,
active,MAPICl,4.79E-05,300,-3.93,-5.43,-4.68,-4.68,2.50E+20,2.50E+20,3.00E+17,0.00E+00,1.21E+22,1.21E+22,1.00E+01,1.00E+01,1.00E-10,1.00E-10,2.50E+01,2.64E+21,4.79E-15,2.00E-06,2.00E-06,,,,,,,,,
layer,MAPICl,6.00E-06,60,-3.93,-5.43,-4.68,-4.68,2.50E+20,2.50E+20,0.00E+00,4.99E+17,1.21E+22,1.21E+22,1.00E+01,1.00E+01,1.00E-10,1.00E-10,2.50E+01,2.64E+21,4.79E-15,2.00E-06,2.00E-06,,,,,,,,,
junction,,2.00E-07,60,,,,,,,,,,,,,,,,,,2.00E-06,2.00E-06,,,,,,,,,
layer,Spiro,2.00E-03,100,-2.2,-5.11,-4.9909,-3.655,1.00E+20,1.00E+20,0.00E+00,0.00E+00,1.00E-06,1.00E-06,1.00E-03,1.00E-03,0.00E+00,0.00E+00,3.00E+00,0.00E+00,2.99E-13,2.00E-06,2.00E-06,,,,,,,,,
