layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-5.53,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,uniform,erf-linear,left,1.00E+00
active,SiO2,2.00E-05,200,0.7,-2.1,-7.7,-5,-5,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E-06,1.00E-06,0.00E+00,0.00E+00,9.10E+00,0.00E+00,1.00E-10,1.00E+100,1.00E+100,,,,0.85,0.95,0.7,,,,
interface,,2.00E-07,100,0.7,-4.1,-5.7,-4.9,-4.9,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E+03,1.00E+03,0.00E+00,0.00E+00,2.30E+01,0.00E+00,0.00E+00,1.00E-11,1.00E-11,1.00E+00,1.00E+00,auto,0.9,0.7,1,,,,
active,MAPbI3,4.00E-05,400,0.7,-4.1,-5.7,-4.9,-5.3,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,2.00E+01,2.00E+01,1.00E-10,1.00E-10,2.30E+01,2.64E+21,3.60E-12,1.00E-07,1.00E-07,,,,0.1,1,0.1,,,,
electrode,,,,,,,-5.53,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,,
