layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-4.8,,,,,,,,,,,,,,,,,1.00E-06,1.00E-06,,,,,uniform,erf-linear,left,1.00E+00
active,MAPbI3,4.00E-05,400,0.7,-4.1,-5.7,-4.9,-4.9,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,2.00E+01,2.00E+01,1.00E-10,1.00E-10,2.30E+01,2.64E+21,3.60E-12,1.00E-07,1.00E-07,,,,0.67,0.84,0.9,,,,
electrode,,,,,,,-4.8,,,,,,,,,,,,,,,,,1.00E-06,1.00E-06,,,,,,,,
