layer_type,stack,thickness,layer_points,xmesh_coeff,EA,IP,E0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,sn_l,sn_r,sp_l,sp_r,Phi_left,Phi_right,OM,xmesh_type,side,N_ionic_species
layer,TiO2,1.00E-05,140,0.7,-4,-6.4,-4.2,-5.2,1.00E+20,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,9.00E-02,9.00E-02,0.00E+00,0.00E+00,1.20E+01,0.00E+00,6.30E-11,1.00E-06,1.00E-06,,,,0.8,0.9,1,1.00E+07,1.00E+00,1.00E+07,1.00E+00,-4.20E+00,-4.20E+00,1.00E+00,5.00E+00,1.00E+00,1.00E+00
interface,interface 1,2.00E-07,100,0.7,-3.8,-5.4,-4.6,-4.6,1.00E+20,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E+00,1.00E+00,0.00E+00,0.00E+00,2.30E+01,0.00E+00,0.00E+00,,,1.00E+06,1.00E+00,auto,1,0.9,0.7,,,,,,,,,,
active,MAPICl,3.40E-05,300,0.7,-3.8,-5.4,-4.6,-4.6,1.00E+20,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,2.00E+01,2.00E+01,1.00E-10,1.00E-12,2.30E+01,2.64E+21,3.60E-12,1.00E-07,1.00E-07,,,,1,1,1,,,,,,,,,,
