layer_type,stack,thickness,points,EA,IP,E0,Et_bulk,Nc,Nv,Ncat,Nani,DOScat,DOSani,mue,muh,mucat,muani,epp,g0,krad,taun_SRH,taup_SRH,sn_l,sn_r,sp_l,sp_r,Rs,PhiA,PhiC,OM,xmesh_type,side,N_ionic_species
layer,PEDOT,2.00E-06,60,-3.5,-5.1,-4.3,-4.3,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E-04,1.00E-04,0.00E+00,0.00E+00,4.00E+00,0.00E+00,8.30E-11,1.00E-06,1.00E-06,1.00E+07,1.00E+07,1.00E+07,1.00E+07,0.00E+00,-5.00E+00,-3.90E+00,1.00E+00,5.00E+00,1.00E+00,1.00E+00
junction,,2.00E-07,80, ,,,,,,,,,,,,,,,,,2.00E-10,2.00E-10,,,,,,,,,,,
active,MAPICl,4.00E-05,400,-3.8,-5.4,-4.6,-4.6,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,2.00E+01,2.00E+01,1.00E-10,1.00E-10,2.30E+01,2.64E+21,3.60E-12,1.00E-07,1.00E-07,,,,,,,,,,,
junction,,2.00E-07,80,,,,,,,,,,,,,,,,,,1.00E-06,1.00E-06,,,,,,,,,,,
layer,PCBM,6.00E-06,100,-3.8,-6.2,-3.9,-5,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E-03,1.00E-03,0.00E+00,0.00E+00,4.00E+00,0.00E+00,6.80E-11,1.00E-06,1.00E-06,,,,,,,,,,,
