layer_type,stack,thickness,layer_points,xmesh_coeff,EA,IP,E0,Et,Nc,Nv,Ncat,Nani,cmax,amax,mue,muh,mucat,muani,epp,g0,B,taun,taup,sn,sp,Red,Green,Blue,sn_l,sn_r,sp_l,sp_r,Phi_left,Phi_right,OM,xmesh_type,side,N_ionic_species
layer,Spiro,2.00E-05,140,0.7,-3.2,-4.9,-4.82,-4.75,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,0.02,0.02,0.00E+00,0.00E+00,4.00E+00,0.00E+00,3.18E-11,1.00E-06,1.00E-06,,,0.85,0.95,0.7,1.00E+07,1.00E+07,1.00E+07,1.00E+07,-4.82E+00,-4.20E+00,1.00E+00,5.00E+00,2.00E+00,1.00E+00
interface,Interface 1,1.00E-07,60,0.7,-3.8,-5.4,-4.6,-4.6,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E+02,1.00E+02,0.00E+00,0.00E+00,1.00E+03,0.00E+00,0.00E+00,,,1.00E+01,1.00E+06,1,0.9,0.7,,,,,,,,,,
active,MAPICl,4.00E-05,300,0.7,-3.8,-5.4,-4.6,-4.6,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E+01,1.00E+01,1.00E-10,1.00E-10,2.30E+01,2.64E+21,3.60E-12,1.00E-06,1.00E-06,,,1,1,1,,,,,,,,,,
interface,Interface 2,1.00E-07,60,0.7,-3.8,-5.4,-4.6,-4.6,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E+02,1.00E+02,0.00E+00,0.00E+00,1.00E+03,0.00E+00,0.00E+00,,,1.00E+06,1.00E+02,1,0.9,0.7,,,,,,,,,,
layer,TiO2,1.00E-05,100,0.7,-4.1,-5.8,-4.2,-4.25,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E-01,1.00E-01,0.00E+00,0.00E+00,1.20E+01,0.00E+00,1.00E-12,1.00E-06,1.00E-06,,,0.8,0.9,1,,,,,,,,,,
