layer_type,stack,thickness,points,EA,IP,E0,Et_bulk,Nc,Nv,Ncat,Nani,DOScat,DOSani,mue,muh,mucat,muani,epp,g0,krad,taun_SRH,taup_SRH,sn_l,sn_r,sp_l,sp_r,Rs,PhiA,PhiC,OM,xmesh_type,side,N_ionic_species
layer,PS,2.00E-05,2.00E+02,-3.8,-5.4,-5.25,-5.2,1.00E+20,1.00E+20,1.00E+19,1.00E+19,1.21E+24,1.21E+24,20,20,0.00E+00,0.00E+00,2.00E+01,0.00E+00,1.00E-10,1.00E-14,1.00E-15,1.00E+07,10000000,10000000,1.00E+07,0,-5.25,-3.95,0,4.00E+00,1.00E+00,1.00E+00
active,MAPICl,4.00E-05,4.00E+02,-3.8,-5.4,-4.6,-4.6,1.00E+20,1.00E+20,1.00E+19,1.00E+19,1.21E+24,1.21E+24,20,20,1.00E-10,1.00E-10,2.00E+01,2.50E+21,1.00E-10,1.00E+06,1.00E+06,,,,,,,,,,,
layer,PS,2.00E-05,2.00E+02,-3.8,-5.4,-3.95,-4,1.00E+20,1.00E+20,1.00E+19,1.00E+19,1.21E+24,1.21E+24,20,20,0.00E+00,0.00E+00,2.00E+01,0.00E+00,1.00E-10,1.00E-14,1.00E-15,,,,,,,,,,,
