layer_type,stack,thickness,layer_points,xmesh_coeff,EA,IP,E0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,sn_l,sn_r,sp_l,sp_r,Phi_left,Phi_right,OM,xmesh_type,side,N_ionic_species
layer,SiO2,1.00E-05,2.00E+02,6.00E-01,-4.00E+00,-5.80E+00,-4.10E+00,-5.00E+00,5.00E+19,5.00E+19,1.60E+19,1.60E+19,1.00E+100,1.00E+100,3.89E+00,3.89E+00,0.00E+00,0.00E+00,1.00E+01,2.50E+21,0.00E+00,1.00E+100,1.00E+100,,,,8.50E-01,9.50E-01,7.00E-01,1.00E+07,0.00E+00,0.00E+00,1.00E+07,-4.10E+00,-5.00E+00,1.00E+00,5.00E+00,1.00E+00,1.00E+00
interface,Interface 1,1.00E-07,6.00E+01,6.00E-01,-3.70E+00,-5.40E+00,-4.55E+00,-4.55E+00,8.10E+18,5.80E+18,1.60E+19,1.60E+19,1.00E+100,1.00E+100,1.00E+03,1.00E+03,0.00E+00,0.00E+00,1.00E+02,2.50E+21,0.00E+00,,,1.00E+07,1.00E+03,auto,1.00E+00,9.00E-01,7.00E-01,,,,,,,,,,
active,MAPICl,4.00E-05,4.00E+02,7.00E-01,-3.70E+00,-5.40E+00,-4.55E+00,-4.55E+00,8.10E+18,5.80E+18,1.60E+19,1.60E+19,1.00E+100,1.00E+100,6.62E+01,6.62E+01,3.93E-12,0.00E+00,2.41E+01,2.50E+21,0.00E+00,3.00E-09,3.00E-07,,,,1.00E+00,1.00E+00,1.00E+00,,,,,,,,,,
interface,Interface 2,1.00E-07,6.00E+01,6.00E-01,-3.70E+00,-5.40E+00,-4.55E+00,-4.55E+00,8.10E+18,5.80E+18,1.60E+19,1.60E+19,1.00E+100,1.00E+100,1.00E+03,1.00E+03,0.00E+00,0.00E+00,1.00E+02,2.50E+21,0.00E+00,,,1.00E+01,1.00E+07,auto,1.00E+00,9.00E-01,7.00E-01,,,,,,,,,,
layer,SiO2,2.00E-05,2.00E+02,6.00E-01,-3.30E+00,-5.10E+00,-5.00E+00,-4.10E+00,5.00E+19,5.00E+19,1.60E+19,1.60E+19,1.00E+100,1.00E+100,3.89E-01,3.89E-01,0.00E+00,0.00E+00,3.00E+00,2.50E+21,0.00E+00,1.00E+100,1.00E+100,,,,8.00E-01,9.00E-01,1.00E+00,,,,,,,,,,
