layer_type,stack,thickness,points,EA,IP,E0,Et_bulk,Nc,Nv,Nion,DOSion,mue,muh,muion,epp,G0,krad,taun_SRH,taup_SRH,sn_l,sn_r,sp_l,sp_r,Rs,PhiA,PhiC
layer,MAPICl,3.00E-06,80,-3.8,-5.4,-4.6,-4.6,1.00E+19,1.00E+19,1.00E+18,1.21E+22,2.00E+01,2.00E+01,1.00E-10,2.30E+01,2.64E+21,3.60E-12,1.00E-07,1.00E-07,1.00E+07,1.00E+07,1.00E+07,1.00E+07,0.00E+00,-5.10E+00,-5.10E+00
layer,MAPICl,4.50E-05,225,-3.8,-5.4,-4.6,-4.6,1.00E+19,1.00E+19,1.00E+18,1.21E+22,2.00E+01,2.00E+01,1.00E-10,2.30E+01,2.64E+21,3.60E-12,1.00E-07,1.00E-07,,,,,,,
layer,MAPICl,3.00E-06,80,-3.8,-5.4,-4.6,-4.6,1.00E+19,1.00E+19,1.00E+18,1.21E+22,2.00E+01,2.00E+01,1.00E-10,2.30E+01,2.64E+21,3.60E-12,1.00E-07,1.00E-07,,,,,,,
