layer_type,stack,thickness,layer_points,xmesh_coeff,EA,IP,E0,Et,Nc,Nv,mue,muh,epp,g0,B,taun,taup,Red,Green,Blue,sn_l,sn_r,sp_l,sp_r,Phi_left,Phi_right,OM,xmesh_type,side,N_ionic_species
layer,Spiro,2.00E-05,200,0.7,-2.8,-4.9,-4.75,-4.75,1.00E+19,1.00E+19,0.02,0.02,4.00E+00,0.00E+00,1.00E-12,1.00E-06,1.00E-06,0.85,0.95,0.7,1.00E+07,1.00E+07,1.00E+07,1.00E+07,-4.75E+00,-4.25E+00,0.00E+00,5.00E+00,1.00E+00,1.00E+00
junction,Interface 1,2.00E-07,80,0.7, ,,,,,,,,,,,1.00E-06,1.00E-06,1,0.9,0.7,,,,,,,,,,
active,MAPICl,4.00E-05,400,0.7,-3.8,-5.4,-4.6,-4.6,1.00E+19,1.00E+19,2.00E+01,2.00E+01,2.30E+01,2.64E+21,1.00E-12,1.00E-06,1.00E-06,1,1,1,,,,,,,,,,
junction,Interface 2,2.00E-07,80,0.7,,,,,,,,,,,,1.00E-06,1.00E-06,1,0.9,0.7,,,,,,,,,,
layer,TiO2,1.00E-05,100,0.7,-4.1,-6.4,-4.25,-4.25,1.00E+19,1.00E+19,1.00E-01,1.00E-01,1.20E+01,0.00E+00,1.00E-12,1.00E-06,1.00E-06,0.8,0.9,1,,,,,,,,,,
