Voltage	Current, 0 suns	Current, 1 suns	Current, 2 suns	Current, 3 suns
1.056	0.0039104	0.017417	0.030928	0.044436
1.044	0.0037272	0.017067	0.030409	0.043751
1.032	0.003544	0.0167	0.029857	0.043014
1.02	0.003361	0.016314	0.029265	0.04222
1.008	0.003178	0.015907	0.028635	0.041365
0.996	0.0029951	0.015472	0.027945	0.040427
0.984	0.0028126	0.015008	0.027204	0.039398
0.972	0.0026305	0.01451	0.026391	0.038269
0.96	0.0024489	0.01397	0.025498	0.037017
0.948	0.0022678	0.013387	0.024506	0.035621
0.936	0.0020881	0.012751	0.023415	0.03407
0.924	0.0019099	0.012053	0.022196	0.03234
0.912	0.0017334	0.011289	0.020846	0.030395
0.9	0.0015603	0.010452	0.019337	0.028223
0.888	0.001391	0.009531	0.017668	0.025802
0.876	0.0012261	0.0085206	0.015817	0.023107
0.864	0.0010672	0.0074262	0.013774	0.020118
0.852	0.00091696	0.006243	0.011565	0.016877
0.84	0.00077614	0.0049794	0.0091775	0.013369
0.828	0.00064662	0.003653	0.0066401	0.0096467
0.816	0.00052961	0.0022665	0.0040078	0.005756
0.804	0.00042613	0.00086674	0.0013113	0.0017437
0.792	0.00033663	-0.00052952	-0.0013896	-0.0022631
0.78	0.00026168	-0.001893	-0.0040495	-0.0062036
0.768	0.00019971	-0.0032	-0.0066041	-0.009997
0.756	0.00014985	-0.0044306	-0.0090133	-0.013584
0.744	0.00011071	-0.0055661	-0.011247	-0.016904
0.732	8.0656e-05	-0.0066025	-0.013274	-0.019949
0.72	5.7979e-05	-0.0075317	-0.015111	-0.022686
0.708	4.1189e-05	-0.0083629	-0.016754	-0.025147
0.696	2.8953e-05	-0.0090963	-0.018211	-0.027322
0.684	2.017e-05	-0.0097419	-0.0195	-0.029245
0.672	1.393e-05	-0.010308	-0.020632	-0.030948
0.66	9.5535e-06	-0.01081	-0.021629	-0.032439
0.648	6.5109e-06	-0.011251	-0.022507	-0.033758
0.636	4.4097e-06	-0.01164	-0.023283	-0.03492
0.624	2.9714e-06	-0.011983	-0.023967	-0.035951
0.612	1.9951e-06	-0.012286	-0.024576	-0.036865
0.6	1.3334e-06	-0.012557	-0.025117	-0.037677
0.588	8.8813e-07	-0.012801	-0.025602	-0.038404
0.576	5.9003e-07	-0.013018	-0.026038	-0.039058
0.564	3.9056e-07	-0.013215	-0.026433	-0.039649
0.552	2.5789e-07	-0.013393	-0.026789	-0.040184
0.54	1.6984e-07	-0.013555	-0.027113	-0.04067
0.528	1.1167e-07	-0.013703	-0.027408	-0.041113
0.516	7.3282e-08	-0.013838	-0.027679	-0.04152
0.504	4.798e-08	-0.013964	-0.027927	-0.041894
0.492	3.1347e-08	-0.014079	-0.028158	-0.04224
0.48	2.0458e-08	-0.014185	-0.028371	-0.042558
0.468	1.3315e-08	-0.014284	-0.028568	-0.042854
0.456	8.6547e-09	-0.014376	-0.028754	-0.043129
0.444	5.6085e-09	-0.014462	-0.028925	-0.043386
0.432	3.6254e-09	-0.014541	-0.029085	-0.043627
0.42	2.3341e-09	-0.014616	-0.029235	-0.043852
0.408	1.4949e-09	-0.014687	-0.029375	-0.044063
0.396	9.498e-10	-0.014753	-0.029508	-0.044262
0.384	5.9667e-10	-0.014816	-0.029633	-0.04445
0.372	3.6756e-10	-0.014875	-0.02975	-0.044627
0.36	2.1933e-10	-0.014931	-0.029861	-0.044794
0.348	1.2351e-10	-0.014983	-0.029967	-0.044952
0.336	6.1565e-11	-0.015033	-0.030067	-0.045101
0.324	2.1587e-11	-0.01508	-0.030162	-0.045243
0.312	-4.2392e-12	-0.015126	-0.030252	-0.045378
0.3	-2.0869e-11	-0.015169	-0.030338	-0.045507
