Voltage	Current, 0 suns
-0.696	-2.078e-09
-0.708	-2.113e-09
-0.72	-2.1479e-09
-0.732	-2.1829e-09
-0.744	-2.2178e-09
-0.756	-2.2528e-09
-0.768	-2.2877e-09
-0.78	-2.3227e-09
-0.792	-2.3576e-09
-0.804	-2.3926e-09
-0.816	-2.4275e-09
-0.828	-2.4625e-09
-0.84	-2.4974e-09
-0.852	-2.5324e-09
-0.864	-2.5673e-09
-0.876	-2.6023e-09
-0.888	-2.6372e-09
-0.9	-2.6722e-09
-0.912	-2.7071e-09
-0.924	-2.7421e-09
-0.936	-2.777e-09
-0.948	-2.812e-09
-0.96	-2.8469e-09
-0.972	-2.8818e-09
-0.984	-2.9168e-09
-0.996	-2.9517e-09
-1.008	-2.9867e-09
-1.02	-3.0216e-09
-1.032	-3.0566e-09
-1.044	-3.0915e-09
-1.056	-3.1265e-09
-1.068	-3.1614e-09
-1.08	-3.1964e-09
-1.092	-3.2313e-09
-1.104	-3.2663e-09
-1.116	-3.3012e-09
-1.128	-3.3362e-09
-1.14	-3.3711e-09
-1.152	-3.4061e-09
-1.164	-3.441e-09
-1.176	-3.476e-09
-1.188	-3.507e-09
-1.2	-3.4896e-09
-1.188	-3.4131e-09
-1.176	-3.3742e-09
-1.164	-3.3393e-09
-1.152	-3.3043e-09
-1.14	-3.2694e-09
-1.128	-3.2344e-09
-1.116	-3.1995e-09
-1.104	-3.1645e-09
-1.092	-3.1296e-09
-1.08	-3.0946e-09
-1.068	-3.0597e-09
-1.056	-3.0247e-09
-1.044	-2.9898e-09
-1.032	-2.9548e-09
-1.02	-2.9199e-09
-1.008	-2.8849e-09
-0.996	-2.85e-09
-0.984	-2.815e-09
-0.972	-2.7801e-09
-0.96	-2.7451e-09
-0.948	-2.7102e-09
-0.936	-2.6752e-09
-0.924	-2.6403e-09
-0.912	-2.6053e-09
-0.9	-2.5704e-09
-0.888	-2.5354e-09
-0.876	-2.5005e-09
-0.864	-2.4655e-09
-0.852	-2.4306e-09
-0.84	-2.3956e-09
-0.828	-2.3607e-09
-0.816	-2.3257e-09
-0.804	-2.2908e-09
-0.792	-2.2558e-09
-0.78	-2.2209e-09
-0.768	-2.1859e-09
-0.756	-2.151e-09
-0.744	-2.116e-09
-0.732	-2.0811e-09
-0.72	-2.0461e-09
-0.708	-2.0112e-09
-0.696	-1.9762e-09
-0.684	-1.9413e-09
-0.672	-1.9063e-09
-0.66	-1.8714e-09
-0.648	-1.8364e-09
-0.636	-1.8015e-09
-0.624	-1.7665e-09
-0.612	-1.7316e-09
-0.6	-1.6966e-09
-0.588	-1.6617e-09
-0.576	-1.6267e-09
-0.564	-1.5918e-09
-0.552	-1.5568e-09
-0.54	-1.5219e-09
-0.528	-1.4869e-09
-0.516	-1.452e-09
-0.504	-1.417e-09
-0.492	-1.3821e-09
-0.48	-1.3471e-09
-0.468	-1.3122e-09
-0.456	-1.2772e-09
-0.444	-1.2423e-09
-0.432	-1.2073e-09
-0.42	-1.1724e-09
-0.408	-1.1374e-09
-0.396	-1.1025e-09
-0.384	-1.0675e-09
-0.372	-1.0326e-09
-0.36	-9.9761e-10
-0.348	-9.6266e-10
-0.336	-9.2771e-10
-0.324	-8.9276e-10
-0.312	-8.5781e-10
-0.3	-8.2286e-10
-0.288	-7.8791e-10
-0.276	-7.5296e-10
-0.264	-7.1801e-10
-0.252	-6.8306e-10
-0.24	-6.4811e-10
-0.228	-6.1316e-10
-0.216	-5.7821e-10
-0.204	-5.4326e-10
-0.192	-5.0831e-10
-0.18	-4.7336e-10
-0.168	-4.3841e-10
-0.156	-4.0346e-10
-0.144	-3.6851e-10
-0.132	-3.3356e-10
-0.12	-2.9861e-10
-0.108	-2.6366e-10
-0.096	-2.2871e-10
-0.084	-1.9376e-10
-0.072	-1.5881e-10
-0.06	-1.2386e-10
-0.048	-8.8907e-11
-0.036	-5.3957e-11
-0.024	-1.9007e-11
-0.012	1.5943e-11
0	5.0893e-11
