output_cell1,output_cell2,output_cell3,output_cell4,output_cell5,output_cell6,output_cell7,output_cell8
Voltage,"Current, 0 suns","Current, 1 suns","Current, 2 suns","Current, 3 suns","Current, 4 suns","Current, 5 suns","Current, 6 suns"
0,5.08930682364637e-11,1.59166979653596e-06,3.18328831012984e-06,4.7749064080159e-06,6.36652408781437e-06,7.95814137153806e-06,9.54975825879502e-06
0.02,6.38382017459007e-06,0.00216522149687678,0.00432330440602908,0.00647880198893013,0.00862690751862038,0.0107792863048739,0.0129280292764182
0.04,1.27675893094283e-05,0.00420819808605283,0.0083985353154924,0.0125900078048574,0.0167681506719573,0.0209580390162582,0.0251361112827289
0.06,1.91513579797682e-05,0.00603920795057136,0.0120550295424997,0.0180739794194043,0.0240703946824278,0.030090220242405,0.0360889438595247
0.08,2.55351255010863e-05,0.00761440440659226,0.0152005122158402,0.0227836220101346,0.030354608482287,0.0379298343446474,0.0454947467534533
0.1,3.19188926801424e-05,0.00892514420730459,0.0178187728396417,0.0267039160834566,0.0355844159134334,0.0444654763390569,0.0533442249744299
0.12,3.83026598591986e-05,0.00999802479435883,0.0199562707717457,0.0299104911101454,0.0398642778650424,0.0498138556930648,0.0597642509055502
0.14,4.46864257181019e-05,0.0108661550074131,0.0216852037025633,0.0325071632119066,0.0433241750415483,0.054138434090477,0.0649621298240046
0.16,5.1070191283638e-05,0.0115731469315172,0.023095843047673,0.0346157868763487,0.0461380143934281,0.0576576802211017,0.069182126757302
0.18,5.74539568736213e-05,0.0121498175355178,0.0242423640939113,0.0363354612237299,0.0484290324368704,0.060522805925647,0.072621760908897
0.2,6.38377197010625e-05,0.0126257049372303,0.0251889520785083,0.0377500688739393,0.0503157926065885,0.0628782344282772,0.0754456863186672
0.22,7.02214821617946e-05,0.0130214191979046,0.0259741700644244,0.0389283948679669,0.0518808607486381,0.0648392523970526,0.0777905507836791
0.24,7.66052446225267e-05,0.0133551252781732,0.0266353209511619,0.0399155025565004,0.053197327512183,0.0664817557923429,0.0797637217038842
0.26,8.29890043940585e-05,0.0136407982908548,0.0271996478690716,0.040757673492335,0.0543210922477705,0.0678839672327701,0.0814518150479969
0.28,8.93727640189067e-05,0.0138869488593556,0.0276852147512381,0.0414814161296864,0.0552865022400425,0.0690889605763955,0.0828918382331319
0.3,9.57565236437549e-05,0.0141014158528948,0.0281075582183801,0.0421161942087123,0.0561249835007159,0.0701340468141143,0.0841442469103814
0.32,0.00010214028329305,0.0142894668415071,0.0284776568981958,0.0426697248980936,0.0568578703935703,0.0710496482889003,0.0852423896899308
0.34,0.000108524042917898,0.014456610933378,0.0288059956684235,0.0431570934679766,0.0575068420419397,0.0718587950955017,0.0862121022471165
0.36,0.000114907802542747,0.0146057870796195,0.0290989226321907,0.0435909047968939,0.0580841127204302,0.0725796525536863,0.0870741474370577
0.38,0.000121291562192042,0.0147403063587383,0.029360667240143,0.0439795660965603,0.0586024449540619,0.0732241022002083,0.0878448996303715
0.4,0.00012767532181689,0.0148618046522605,0.0295970337498742,0.0443312692693918,0.0590689289698249,0.0738055086629397,0.0885400937442682
0.42,0.000134059080586084,0.0149723074526308,0.0298108168436109,0.0446514659350538,0.059491496000888,0.0743338153102515,0.0891714603737573
0.44,0.000140442834905873,0.0150736072280356,0.030006180615144,0.044940940905486,0.0598770249842759,0.0748116847096446,0.0897466677678157
0.46,0.000146826589225663,0.0151660396132776,0.0301863773067041,0.0452060590506436,0.0602272331378438,0.075247770882431,0.0902715422369922
0.48,0.0001532103435699,0.0152512765184399,0.0303508734271529,0.0454503851376556,0.0605489790719159,0.0756504203240555,0.0907526007184367
0.5,0.000159594097889689,0.0153307206667616,0.0305028574794719,0.0456753367797123,0.0608476520251229,0.0760211935756919,0.0911956664643809
0.52,0.000165977852209479,0.0154046278550024,0.030643441628795,0.0458836772697103,0.0611234789040333,0.0763630176109479,0.0916050103024758
0.54,0.000172361606553715,0.0154732779824876,0.030774639489668,0.0460767522791508,0.0613787131414524,0.0766803968982048,0.0919856910896211
0.56,0.000178745360873505,0.0155374405751175,0.0308967996734816,0.0462565048651419,0.0616160420063309,0.0769766386140853,0.092338865432842
