Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
3.25146514042238e-07	-3.84741462656452	-5.44741462656452	-4.60350136698767	-4.59998854905234
3.40648029325503e-07	-3.84963196260476	-5.44963196260476	-4.60356034552627	-4.59998718821909
3.56725993426758e-07	-3.85192760214076	-5.45192760214076	-4.60361631894571	-4.59998567794438
3.73397810783814e-07	-3.85430356846701	-5.45430356846701	-4.6036692203974	-4.59998400337808
3.90681236225808e-07	-3.85676189871651	-5.45676189871651	-4.60371899959215	-4.59998214839028
4.08594374757362e-07	-3.85930464160189	-5.45930464160189	-4.60376562282474	-4.59998009548478
4.2715568099001e-07	-3.86193385500186	-5.46193385500186	-4.60380907275666	-4.59997782570979
4.46383958208709e-07	-3.8646516033884	-5.4646516033884	-4.60384934795733	-4.59997531856578
4.66298357061353e-07	-3.86745995509043	-5.46745995509043	-4.60388646221007	-4.59997255191115
4.8691837385927e-07	-3.87036097938938	-5.47036097938938	-4.6039204435941	-4.59996950186603
5.08263848476895e-07	-3.87335674344266	-5.47335674344266	-4.60395133335954	-4.59996614271459
5.30354961838956e-07	-3.87644930903087	-5.47644930903087	-4.60397918461698	-4.59996244680672
5.5321223298367e-07	-3.87964072912488	-5.47964072912488	-4.60400406086763	-4.59995838445949
5.76856515690716e-07	-3.88293304426908	-5.48293304426908	-4.60402603440371	-4.5999539238594
6.01308994663012e-07	-3.88632827877731	-5.48632827877731	-4.6040451846114	-4.59994903096614
6.26591181251512e-07	-3.88982843673814	-5.48982843673814	-4.60406159621053	-4.59994366941901
6.52724908712662e-07	-3.89343549782663	-5.49343549782663	-4.60407535746613	-4.59993780044702
6.79732326988386e-07	-3.89715141291962	-5.49715141291962	-4.60408655840668	-4.59993138278392
7.07635896998916e-07	-3.90097809951237	-5.50097809951237	-4.60409528908299	-4.59992437258965
7.36458384439106e-07	-3.90491743693425	-5.50491743693425	-4.60410163789943	-4.59991672337954
7.66222853069321e-07	-3.90897126136183	-5.50897126136183	-4.60410569004649	-4.5999083859631
7.96952657492446e-07	-3.91314136062796	-5.51314136062796	-4.60410752606025	-4.59989930839393
8.28671435409041e-07	-3.91742946882598	-5.51742946882598	-4.60410722053025	-4.5998894359329
8.61403099343132e-07	-3.92183726070834	-5.52183726070834	-4.60410484097275	-4.59987871102652
8.95171827831744e-07	-3.92636634587986	-5.52636634587986	-4.60410044688205	-4.59986707330261
9.30002056071754e-07	-3.93101826278572	-5.53101826278572	-4.60409408896772	-4.59985445958576
9.65918466018347e-07	-3.93579447249542	-5.53579447249542	-4.60408580858134	-4.59984080393469
1.00294597592988e-06	-3.94069635228403	-5.54069635228403	-4.60407563733201	-4.59982603770436
1.04110972935466e-06	-3.9457251890129	-5.5457251890129	-4.60406359688617	-4.59981008963502
1.08043508355587e-06	-3.95088217231234	-5.55088217231234	-4.60404969894433	-4.59979288597128
1.12094759737148e-06	-3.95616838756976	-5.55616838756976	-4.60403394538406	-4.59977435061348
1.16267301850678e-06	-3.96158480872707	-5.56158480872707	-4.60401632855733	-4.59975440530435
1.20563727025797e-06	-3.96713229089199	-5.56713229089199	-4.60399683172808	-4.59973296985362
1.24986643766601e-06	-3.97281156276866	-5.57281156276866	-4.60397542963587	-4.59970996240303
1.29538675310057e-06	-3.97862321891347	-5.57862321891347	-4.60395208917065	-4.5996852997346
1.34222458127518e-06	-3.98456771182306	-5.58456771182306	-4.60392677014433	-4.59965889762429
1.39040640369498e-06	-3.99064534386199	-5.59064534386199	-4.60389942614547	-4.59963067124347
1.43995880253999e-06	-3.99685625903846	-5.59685625903846	-4.60387000546427	-4.5996005356102
1.490908443987e-06	-4.0032004346372	-5.6032004346372	-4.60383845207657	-4.59956840609184
1.54328206097489e-06	-4.00967767271972	-5.60967767271972	-4.60380470667678	-4.59953419896055
