Voltage	Current, 0 suns
-0.612	-6.3123e-11
-0.624	-6.308e-11
-0.636	-6.3036e-11
-0.648	-6.2993e-11
-0.66	-6.2949e-11
-0.672	-6.2905e-11
-0.684	-6.2861e-11
-0.696	-6.2817e-11
-0.708	-6.2773e-11
-0.72	-6.2729e-11
-0.732	-6.2685e-11
-0.744	-6.2641e-11
-0.756	-6.2596e-11
-0.768	-6.2552e-11
-0.78	-6.2507e-11
-0.792	-6.2463e-11
-0.804	-6.2418e-11
-0.816	-6.2373e-11
-0.828	-6.2328e-11
-0.84	-6.2284e-11
-0.852	-6.2239e-11
-0.864	-6.2194e-11
-0.876	-6.2149e-11
-0.888	-6.2104e-11
-0.9	-6.2059e-11
-0.912	-6.2014e-11
-0.924	-6.1969e-11
-0.936	-6.1924e-11
-0.948	-6.1879e-11
-0.96	-6.1834e-11
-0.972	-6.1789e-11
-0.984	-6.1744e-11
-0.996	-6.1698e-11
-1.008	-6.1653e-11
-1.02	-6.1608e-11
-1.032	-6.1563e-11
-1.044	-6.1518e-11
-1.056	-6.1473e-11
-1.068	-6.1428e-11
-1.08	-6.1383e-11
-1.092	-6.1338e-11
-1.104	-6.1293e-11
-1.116	-6.1248e-11
-1.128	-6.1203e-11
-1.14	-6.1158e-11
-1.152	-6.1114e-11
-1.164	-6.1069e-11
-1.176	-6.1024e-11
-1.188	-6.0473e-11
-1.2	7.9851e-19
-1.188	6.0473e-11
-1.176	6.1024e-11
-1.164	6.1069e-11
-1.152	6.1114e-11
-1.14	6.1158e-11
-1.128	6.1203e-11
-1.116	6.1248e-11
-1.104	6.1293e-11
-1.092	6.1338e-11
-1.08	6.1383e-11
-1.068	6.1428e-11
-1.056	6.1473e-11
-1.044	6.1518e-11
-1.032	6.1563e-11
-1.02	6.1608e-11
-1.008	6.1653e-11
-0.996	6.1698e-11
-0.984	6.1744e-11
-0.972	6.1789e-11
-0.96	6.1834e-11
-0.948	6.1879e-11
-0.936	6.1924e-11
-0.924	6.1969e-11
-0.912	6.2014e-11
-0.9	6.2059e-11
-0.888	6.2104e-11
-0.876	6.2149e-11
-0.864	6.2194e-11
-0.852	6.2239e-11
-0.84	6.2284e-11
-0.828	6.2328e-11
-0.816	6.2373e-11
-0.804	6.2418e-11
-0.792	6.2463e-11
-0.78	6.2507e-11
-0.768	6.2552e-11
-0.756	6.2596e-11
-0.744	6.2641e-11
-0.732	6.2685e-11
-0.72	6.2729e-11
-0.708	6.2773e-11
-0.696	6.2817e-11
-0.684	6.2861e-11
-0.672	6.2905e-11
-0.66	6.2949e-11
-0.648	6.2993e-11
-0.636	6.3036e-11
-0.624	6.308e-11
-0.612	6.3123e-11
-0.6	6.3167e-11
-0.588	6.321e-11
-0.576	6.3253e-11
-0.564	6.3296e-11
-0.552	6.3338e-11
-0.54	6.3381e-11
-0.528	6.3423e-11
-0.516	6.3466e-11
-0.504	6.3508e-11
-0.492	6.355e-11
-0.48	6.3592e-11
-0.468	6.3633e-11
-0.456	6.3675e-11
-0.444	6.3716e-11
-0.432	6.3757e-11
-0.42	6.3798e-11
-0.408	6.3839e-11
-0.396	6.388e-11
-0.384	6.392e-11
-0.372	6.396e-11
-0.36	6.4e-11
-0.348	6.404e-11
-0.336	6.408e-11
-0.324	6.4119e-11
-0.312	6.4159e-11
-0.3	6.4198e-11
-0.288	6.4237e-11
-0.276	6.4275e-11
-0.264	6.4314e-11
-0.252	6.4352e-11
-0.24	6.439e-11
-0.228	6.4428e-11
-0.216	6.4465e-11
-0.204	6.4502e-11
-0.192	6.4539e-11
-0.18	6.4576e-11
-0.168	6.4613e-11
-0.156	6.4649e-11
-0.144	6.4686e-11
-0.132	6.4721e-11
-0.12	6.4757e-11
-0.108	6.4793e-11
-0.096	6.4828e-11
-0.084	6.4863e-11
-0.072	6.4898e-11
-0.06	6.4932e-11
-0.048	6.4966e-11
-0.036	6.5e-11
-0.024	6.5034e-11
-0.012	6.5068e-11
0	6.5084e-11
