Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
2.66547890103673e-07	-3.83910753544037	-5.43910753544038	-4.60324032730201	-4.59999269177058
2.79910689719234e-07	-3.84103734922678	-5.44103734922678	-4.6033112453221	-4.59999179487849
2.93783818192436e-07	-3.84303775603805	-5.44303775603805	-4.60337953637717	-4.59999079585424
3.08183282899734e-07	-3.84511070909967	-5.44511070909967	-4.60344507095423	-4.59998968407566
3.2312543919183e-07	-3.8472581830464	-5.4472581830464	-4.60350773406595	-4.59998844794521
3.38626991465696e-07	-3.84948217222563	-5.44948217222563	-4.60356742615382	-4.59998707481647
3.54704993933107e-07	-3.85178468886418	-5.45178468886418	-4.60362406379221	-4.59998555091713
3.71376851073405e-07	-3.85416776109364	-5.45416776109364	-4.60367758017476	-4.59998386126841
3.88660317758096e-07	-3.85663343082961	-5.45663343082961	-4.60372792536857	-4.59998198960122
4.06573499035004e-07	-3.85918375150017	-5.45918375150017	-4.60377506632623	-4.59997991826903
4.251348495597e-07	-3.86182078561887	-5.46182078561887	-4.60381898665107	-4.59997762815786
4.44363172662013e-07	-3.86454660219784	-5.46454660219784	-4.60385968611656	-4.59997509859358
4.64277619035532e-07	-3.86736327399637	-5.46736327399637	-4.60389717994622	-4.59997230724695
4.8489768503811e-07	-3.87027287460084	-5.47027287460084	-4.60393149786624	-4.5999692300367
5.06243210591526e-07	-3.87327747533154	-5.47327747533155	-4.6039626829482	-4.59996584103135
5.28334376668665e-07	-3.87637914197252	-5.47637914197252	-4.60399079026437	-4.59996211235018
5.51191702356702e-07	-3.87957993132033	-5.47957993132033	-4.6040158853824	-4.59995801406428
5.74836041485085e-07	-3.88288188754819	-5.48288188754819	-4.60403804272974	-4.59995351409817
5.99288578807283e-07	-3.88628703838182	-5.48628703838182	-4.60405734386105	-4.59994857813317
6.2457082572558e-07	-3.88979739108386	-5.48979739108386	-4.60407387566353	-4.59994316951341
6.50704615548521e-07	-3.89341492824367	-5.49341492824367	-4.60408772853599	-4.59993724915561
6.7771209827089e-07	-3.89714160336995	-5.49714160336995	-4.60409899457719	-4.59993077546391
7.05615734866513e-07	-3.90097933628358	-5.50097933628358	-4.60410776581789	-4.59992370425123
7.34438291084568e-07	-3.90493000830866	-5.50493000830866	-4.60411413252865	-4.59991598866844
7.64202830740457e-07	-3.90899545725998	-5.50899545725998	-4.60411818163301	-4.59990757914333
7.94932708492795e-07	-3.91317747222556	-5.51317747222556	-4.60411999525146	-4.59989842333085
8.2665156209855e-07	-3.91747778814324	-5.51747778814324	-4.60411964939787	-4.59988846607684
8.59383304138806e-07	-3.92189808017091	-5.52189808017091	-4.6041172128455	-4.59987764939698
8.93152113208286e-07	-3.92643995785021	-5.52643995785021	-4.60411274617485	-4.59986591247357
9.27982424562175e-07	-3.93110495906416	-5.53110495906416	-4.60410630101116	-4.59985319167198
9.63898920214557e-07	-3.93589454378979	-5.53589454378979	-4.60409791945473	-4.59983942057966
1.00092651848324e-06	-3.94081008764707	-5.54081008764707	-4.60408763370292	-4.59982453006978
1.03909036297655e-06	-3.9458528752464	-5.5458528752464	-4.60407546585922	-4.59980844839256
1.07841581101817e-06	-3.95102409333721	-5.55102409333721	-4.60406142792112	-4.59979110129653
1.11892842150705e-06	-3.95632482376107	-5.55632482376107	-4.60404552193619	-4.59977241218278
1.16065394220993e-06	-3.96175603621327	-5.56175603621327	-4.60402774031357	-4.59975230229478
1.20361829648488e-06	-3.96731858081736	-5.56731858081736	-4.6040080662768	-4.59973069094637
1.24784756943508e-06	-3.97301318051834	-5.57301318051834	-4.60398647444314	-4.59970749579092
1.29336799349282e-06	-3.97884042330014	-5.57884042330014	-4.60396293151433	-4.59968263313382
1.34020593343452e-06	-3.9848007542347	-5.58480075423471	-4.60393739706413	-4.59965601829104
1.38838787082855e-06	-3.99089446736988	-5.59089446736988	-4.6039098244087	-4.59962756599588
1.43794038791832e-06	-3.99712169746482	-5.59712169746482	-4.60388016154699	-4.59959719085593
1.48889015094427e-06	-4.00348241158198	-5.60348241158199	-4.60384835215959	-4.59956480786185
1.54126389290908e-06	-4.00997640054587	-5.60997640054587	-4.60381433665603	-4.59953033294952
1.59508839579139e-06	-4.01660327027933	-5.61660327027933	-4.60377805326171	-4.59949368361618
1.65039047221459e-06	-4.02336243302935	-5.62336243302935	-4.60373943913747	-4.59945477959107
1.70719694657769e-06	-4.03025309849486	-5.63025309849486	-4.60369843152565	-4.59941354356042
1.76553463565681e-06	-4.03727426487017	-5.63727426487017	-4.60365496891776	-4.59936990194571
1.8254303286864e-06	-4.04442470981846	-5.64442470981846	-4.60360899223974	-4.59932378573376
1.88691076693063e-06	-4.05170298139066	-5.65170298139066	-4.60356044605113	-4.59927513135601
1.95000262275624e-06	-4.05910738890594	-5.65910738890594	-4.60350927975497	-4.59922388161371
2.01473247821923e-06	-4.06663599381103	-5.66663599381103	-4.60345544881482	-4.59916998664458
2.08112680317883e-06	-4.07428660053621	-5.67428660053621	-4.60339891597532	-4.59911340492548
2.14921193295323e-06	-4.08205674736716	-5.68205674736716	-4.6033396524819	-4.59905410430447
2.21901404553247e-06	-4.08994369735223	-5.68994369735224	-4.60327763929424	-4.59899206305438
2.29055913836531e-06	-4.09794442926597	-5.69794442926597	-4.6032128682873	-4.59892727093893
2.36387300473738e-06	-4.10605562865031	-5.70605562865031	-4.60314534343226	-4.59885973028086
2.43898120975948e-06	-4.11427367895593	-5.71427367895593	-4.60307508194838	-4.59878945702038
2.5159090659857e-06	-4.12259465280686	-5.72259465280686	-4.60300211541537	-4.59871648175087
2.59468160868202e-06	-4.13101430341243	-5.73101430341243	-4.60292649083426	-4.59864085071742
2.67532357076715e-06	-4.13952805615134	-5.73952805615134	-4.6028482716234	-4.59856262676255
2.75785935744839e-06	-4.14813100035346	-5.74813100035346	-4.60276753853447	-4.59848189020203
2.84231302057633e-06	-4.1568178813059	-5.7568178813059	-4.60268439047242	-4.59839873961298
2.92870823274291e-06	-4.16558309251051	-5.76558309251051	-4.60259894520149	-4.59831329251505
3.01706826114874e-06	-4.17442066822116	-5.77442066822116	-4.60251133991903	-4.59822568592472
3.10741594126617e-06	-4.18332427628995	-5.78332427628995	-4.60242173167735	-4.59813607676251
3.19977365032567e-06	-4.19228721135303	-5.79228721135303	-4.60233029763362	-4.59804464209176
3.29416328065395e-06	-4.20130238838816	-5.80130238838816	-4.60223723510763	-4.59795157916847
3.39060621289304e-06	-4.21036233667816	-5.81036233667816	-4.60214276142679	-4.59785710528097
3.48912328913053e-06	-4.21945919421779	-5.81945919421779	-4.60204711353881	-4.59776145735969
3.58973478597165e-06	-4.22858470260504	-5.82858470260504	-4.60195054737269	-4.59766489133753
3.69246038758518e-06	-4.23773020246451	-5.83773020246451	-4.60185333693045	-4.59756768124347
3.7973191587551e-06	-4.24688662945826	-5.84688662945826	-4.60175577309329	-4.59747011801338
3.90432951797149e-06	-4.25604451095231	-5.85604451095231	-4.6016581621283	-4.59737250800517
4.01350921059396e-06	-4.26519396342395	-5.86519396342395	-4.60156082388441	-4.5972751712077
4.12487528212218e-06	-4.27432469072017	-5.87432469072017	-4.6014640896691	-4.5971784391371
4.23844405160815e-06	-4.28342598331229	-5.88342598331229	-4.60136829980134	-4.59708265241794
4.35423108524561e-06	-4.29248671874109	-5.89248671874109	-4.60127380083973	-4.59698815805174
4.47225117017228e-06	-4.30149536351406	-5.90149536351406	-4.60118094248941	-4.59689530638068
4.59251828852124e-06	-4.3104399768089	-5.91043997680891	-4.60109007419606	-4.5968044477607
4.71504559175772e-06	-4.31930821646013	-5.91930821646013	-4.6010015414406	-4.59671592896508
4.83984537533834e-06	-4.32808734786841	-5.92808734786841	-4.60091568175413	-4.59663008934764
4.96692905372961e-06	-4.33676425668044	-5.93676425668044	-4.60083282047972	-4.59654725680379
5.09630713582301e-06	-4.34532546634873	-5.94532546634873	-4.60075326631561	-4.5964677435781
5.22798920078386e-06	-4.35375716199827	-5.95375716199826	-4.60067730668491	-4.5963918419791
5.36198387437138e-06	-4.36204522239789	-5.96204522239789	-4.60060520298952	-4.59631982007646
5.49829880576723e-06	-4.37017526224532	-5.97017526224532	-4.60053718582307	-4.5962519174716
5.63694064494978e-06	-4.37813268739947	-5.97813268739947	-4.60047345023832	-4.59618834125212
5.77791502065126e-06	-4.38590276608347	-5.98590276608347	-4.60041415119171	-4.59612926226038
5.92122651893456e-06	-4.39347071936706	-5.99347071936706	-4.60035939931874	-4.59607481182836
6.06687866242651e-06	-4.40082183431925	-6.00082183431925	-4.60030925722985	-4.59602507915075
6.21487389024361e-06	-4.4079416029831	-6.0079416029831	-4.60026373655235	-4.59598010948264
6.36521353864642e-06	-4.41481588963104	-6.01481588963104	-4.60022279597487	-4.59593990335308
6.51789782245768e-06	-4.42143112748742	-6.02143112748742	-4.60018634056806	-4.59590441697343
