Voltage	Current, 0 suns
-1.092	-1.4074e-08
-1.104	-1.4121e-08
-1.116	-1.4169e-08
-1.128	-1.4216e-08
-1.14	-1.4263e-08
-1.152	-1.431e-08
-1.164	-1.4357e-08
-1.176	-1.4403e-08
-1.188	-1.4449e-08
-1.2	-1.4361e-08
-1.188	-1.418e-08
-1.176	-1.4132e-08
-1.164	-1.4084e-08
-1.152	-1.4037e-08
-1.14	-1.3989e-08
-1.128	-1.3941e-08
-1.116	-1.3893e-08
-1.104	-1.3845e-08
-1.092	-1.3796e-08
-1.08	-1.3748e-08
-1.068	-1.3699e-08
-1.056	-1.365e-08
-1.044	-1.3601e-08
-1.032	-1.3551e-08
-1.02	-1.3502e-08
-1.008	-1.3452e-08
-0.996	-1.3402e-08
-0.984	-1.3352e-08
-0.972	-1.3302e-08
-0.96	-1.3252e-08
-0.948	-1.3201e-08
-0.936	-1.315e-08
-0.924	-1.3099e-08
-0.912	-1.3048e-08
-0.9	-1.2996e-08
-0.888	-1.2945e-08
-0.876	-1.2893e-08
-0.864	-1.2841e-08
-0.852	-1.2789e-08
-0.84	-1.2736e-08
-0.828	-1.2684e-08
-0.816	-1.2631e-08
-0.804	-1.2578e-08
-0.792	-1.2524e-08
-0.78	-1.2471e-08
-0.768	-1.2417e-08
-0.756	-1.2363e-08
-0.744	-1.2309e-08
-0.732	-1.2254e-08
-0.72	-1.2199e-08
-0.708	-1.2144e-08
-0.696	-1.2089e-08
-0.684	-1.2034e-08
-0.672	-1.1978e-08
-0.66	-1.1922e-08
-0.648	-1.1865e-08
-0.636	-1.1809e-08
-0.624	-1.1752e-08
-0.612	-1.1695e-08
-0.6	-1.1638e-08
-0.588	-1.158e-08
-0.576	-1.1522e-08
-0.564	-1.1464e-08
-0.552	-1.1405e-08
-0.54	-1.1346e-08
-0.528	-1.1287e-08
-0.516	-1.1228e-08
-0.504	-1.1168e-08
-0.492	-1.1108e-08
-0.48	-1.1047e-08
-0.468	-1.0987e-08
-0.456	-1.0925e-08
-0.444	-1.0864e-08
-0.432	-1.0802e-08
-0.42	-1.074e-08
-0.408	-1.0677e-08
-0.396	-1.0615e-08
-0.384	-1.0551e-08
-0.372	-1.0488e-08
-0.36	-1.0424e-08
-0.348	-1.0359e-08
-0.336	-1.0294e-08
-0.324	-1.0229e-08
-0.312	-1.0163e-08
-0.3	-1.0097e-08
-0.288	-1.0031e-08
-0.276	-9.9638e-09
-0.264	-9.8963e-09
-0.252	-9.8283e-09
-0.24	-9.7597e-09
-0.228	-9.6905e-09
-0.216	-9.6205e-09
-0.204	-9.5497e-09
-0.192	-9.4778e-09
-0.18	-9.4045e-09
-0.168	-9.3291e-09
-0.156	-9.2509e-09
-0.144	-9.1683e-09
-0.132	-9.0791e-09
-0.12	-8.9797e-09
-0.108	-8.8644e-09
-0.096	-8.7243e-09
-0.084	-8.5449e-09
-0.072	-8.3033e-09
-0.06	-7.9633e-09
-0.048	-7.4672e-09
-0.036	-6.7228e-09
-0.024	-5.5861e-09
-0.012	-3.8255e-09
0	-1.0789e-09
