Voltage	Current, 0 suns
-0.696	-6.8816e-10
-0.708	-6.9977e-10
-0.72	-7.1138e-10
-0.732	-7.2299e-10
-0.744	-7.3461e-10
-0.756	-7.4622e-10
-0.768	-7.5783e-10
-0.78	-7.6944e-10
-0.792	-7.8105e-10
-0.804	-7.9266e-10
-0.816	-8.0427e-10
-0.828	-8.1588e-10
-0.84	-8.275e-10
-0.852	-8.3911e-10
-0.864	-8.5072e-10
-0.876	-8.6233e-10
-0.888	-8.7394e-10
-0.9	-8.8555e-10
-0.912	-8.9716e-10
-0.924	-9.0877e-10
-0.936	-9.2039e-10
-0.948	-9.32e-10
-0.96	-9.4361e-10
-0.972	-9.5522e-10
-0.984	-9.6683e-10
-0.996	-9.7844e-10
-1.008	-9.9005e-10
-1.02	-1.0017e-09
-1.032	-1.0133e-09
-1.044	-1.0249e-09
-1.056	-1.0365e-09
-1.068	-1.0481e-09
-1.08	-1.0597e-09
-1.092	-1.0713e-09
-1.104	-1.0829e-09
-1.116	-1.0946e-09
-1.128	-1.1062e-09
-1.14	-1.1178e-09
-1.152	-1.1294e-09
-1.164	-1.141e-09
-1.176	-1.1526e-09
-1.188	-1.1641e-09
-1.2	-1.161e-09
-1.188	-1.1349e-09
-1.176	-1.1232e-09
-1.164	-1.1116e-09
-1.152	-1.1e-09
-1.14	-1.0884e-09
-1.128	-1.0768e-09
-1.116	-1.0652e-09
-1.104	-1.0535e-09
-1.092	-1.0419e-09
-1.08	-1.0303e-09
-1.068	-1.0187e-09
-1.056	-1.0071e-09
-1.044	-9.9548e-10
-1.032	-9.8387e-10
-1.02	-9.7226e-10
-1.008	-9.6065e-10
-0.996	-9.4904e-10
-0.984	-9.3743e-10
-0.972	-9.2581e-10
-0.96	-9.142e-10
-0.948	-9.0259e-10
-0.936	-8.9098e-10
-0.924	-8.7937e-10
-0.912	-8.6776e-10
-0.9	-8.5615e-10
-0.888	-8.4454e-10
-0.876	-8.3292e-10
-0.864	-8.2131e-10
-0.852	-8.097e-10
-0.84	-7.9809e-10
-0.828	-7.8648e-10
-0.816	-7.7487e-10
-0.804	-7.6326e-10
-0.792	-7.5164e-10
-0.78	-7.4003e-10
-0.768	-7.2842e-10
-0.756	-7.1681e-10
-0.744	-7.052e-10
-0.732	-6.9359e-10
-0.72	-6.8198e-10
-0.708	-6.7037e-10
-0.696	-6.5875e-10
-0.684	-6.4714e-10
-0.672	-6.3553e-10
-0.66	-6.2392e-10
-0.648	-6.1231e-10
-0.636	-6.007e-10
-0.624	-5.8909e-10
-0.612	-5.7748e-10
-0.6	-5.6586e-10
-0.588	-5.5425e-10
-0.576	-5.4264e-10
-0.564	-5.3103e-10
-0.552	-5.1942e-10
-0.54	-5.0781e-10
-0.528	-4.962e-10
-0.516	-4.8458e-10
-0.504	-4.7297e-10
-0.492	-4.6136e-10
-0.48	-4.4975e-10
-0.468	-4.3814e-10
-0.456	-4.2653e-10
-0.444	-4.1492e-10
-0.432	-4.0331e-10
-0.42	-3.9169e-10
-0.408	-3.8008e-10
-0.396	-3.6847e-10
-0.384	-3.5686e-10
-0.372	-3.4525e-10
-0.36	-3.3364e-10
-0.348	-3.2203e-10
-0.336	-3.1041e-10
-0.324	-2.988e-10
-0.312	-2.8719e-10
-0.3	-2.7558e-10
-0.288	-2.6397e-10
-0.276	-2.5236e-10
-0.264	-2.4075e-10
-0.252	-2.2914e-10
-0.24	-2.1752e-10
-0.228	-2.0591e-10
-0.216	-1.943e-10
-0.204	-1.8269e-10
-0.192	-1.7108e-10
-0.18	-1.5947e-10
-0.168	-1.4786e-10
-0.156	-1.3624e-10
-0.144	-1.2463e-10
-0.132	-1.1302e-10
-0.12	-1.0141e-10
-0.108	-8.9799e-11
-0.096	-7.8188e-11
-0.084	-6.6577e-11
-0.072	-5.4965e-11
-0.06	-4.3354e-11
-0.048	-3.1743e-11
-0.036	-2.0131e-11
-0.024	-8.5201e-12
-0.012	3.0913e-12
0	1.4703e-11
