Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
8.04700206402457e-07	-3.8	-5.4	-4.6	-4.6
8.47664381135677e-07	-3.8	-5.4	-4.6	-4.6
8.92457884332872e-07	-3.8	-5.4	-4.6	-4.6
9.39138534643543e-07	-3.8	-5.4	-4.6	-4.6
9.87764930371778e-07	-3.8	-5.4	-4.6	-4.6
1.03839640502452e-06	-3.8	-5.4	-4.6	-4.6
1.09109297971735e-06	-3.8	-5.4	-4.6	-4.6
1.14591531241196e-06	-3.8	-5.4	-4.6	-4.6
1.20292464396658e-06	-3.8	-5.4	-4.6	-4.6
1.26218274098846e-06	-3.8	-5.4	-4.6	-4.6
1.32375183548534e-06	-3.8	-5.4	-4.6	-4.6
1.38769456132106e-06	-3.8	-5.4	-4.6	-4.6
1.45407388748932e-06	-3.8	-5.4	-4.6	-4.6
1.52295304822829e-06	-3.8	-5.4	-4.6	-4.6
1.59439547000787e-06	-3.8	-5.4	-4.6	-4.6
1.66846469543132e-06	-3.8	-5.4	-4.6	-4.6
1.74522430410182e-06	-3.8	-5.4	-4.6	-4.6
1.82473783051535e-06	-3.8	-5.4	-4.6	-4.6
1.90706867905039e-06	-3.8	-5.4	-4.6	-4.6
1.99228003613594e-06	-3.8	-5.4	-4.6	-4.6
2.08043477968905e-06	-3.8	-5.4	-4.6	-4.6
2.17159538592389e-06	-3.8	-5.4	-4.6	-4.6
2.26582383364459e-06	-3.8	-5.4	-4.6	-4.6
2.36318150614464e-06	-3.8	-5.4	-4.6	-4.6
2.46372909084615e-06	-3.8	-5.4	-4.6	-4.6
2.56752647682258e-06	-3.8	-5.4	-4.6	-4.6
2.67463265035895e-06	-3.8	-5.4	-4.6	-4.6
2.78510558871364e-06	-3.8	-5.4	-4.6	-4.6
2.89900215225601e-06	-3.8	-5.4	-4.6	-4.6
3.01637797516386e-06	-3.8	-5.4	-4.6	-4.6
3.13728735487404e-06	-3.8	-5.4	-4.6	-4.6
3.26178314048938e-06	-3.8	-5.4	-4.6	-4.6
3.38991662035326e-06	-3.8	-5.4	-4.6	-4.6
3.52173740901234e-06	-3.8	-5.4	-4.6	-4.6
3.65729333379584e-06	-3.8	-5.4	-4.6	-4.6
3.7966303212473e-06	-3.8	-5.4	-4.6	-4.6
3.93979228365218e-06	-3.8	-5.4	-4.6	-4.6
4.08682100591124e-06	-3.8	-5.4	-4.6	-4.6
4.23775603301552e-06	-3.8	-5.4	-4.6	-4.6
4.39263455838445e-06	-3.8	-5.4	-4.6	-4.6
4.55149131333325e-06	-3.8	-5.4	-4.6	-4.6
4.71435845793999e-06	-3.8	-5.4	-4.6	-4.6
4.88126547358603e-06	-3.8	-5.4	-4.6	-4.6
5.05223905744625e-06	-3.8	-5.4	-4.6	-4.6
5.22730301920734e-06	-3.8	-5.4	-4.6	-4.6
5.40647818029363e-06	-3.8	-5.4	-4.6	-4.6
5.58978227587994e-06	-3.8	-5.4	-4.6	-4.6
5.77722985997065e-06	-3.8	-5.4	-4.6	-4.6
5.96883221382252e-06	-3.8	-5.4	-4.6	-4.6
6.16459725798662e-06	-3.8	-5.4	-4.6	-4.6
6.36452946824133e-06	-3.8	-5.4	-4.6	-4.6
6.56862979568457e-06	-3.8	-5.4	-4.6	-4.6
6.776895591248e-06	-3.8	-5.4	-4.6	-4.6
6.98932053489034e-06	-3.8	-5.4	-4.6	-4.6
7.20589456971997e-06	-3.8	-5.4	-4.6	-4.6
7.42660384128924e-06	-3.8	-5.4	-4.6	-4.6
7.65143064229443e-06	-3.8	-5.4	-4.6	-4.6
7.88035336290555e-06	-3.8	-5.4	-4.6	-4.6
8.11334644693998e-06	-3.8	-5.4	-4.6	-4.6
8.35038035408286e-06	-3.8	-5.4	-4.6	-4.6
8.59142152834468e-06	-3.8	-5.4	-4.6	-4.6
8.83643237293412e-06	-3.8	-5.4	-4.6	-4.6
9.08537123171041e-06	-3.8	-5.4	-4.6	-4.6
9.33819237736511e-06	-3.8	-5.4	-4.6	-4.6
9.59484600646827e-06	-3.8	-5.4	-4.6	-4.6
9.85527824149824e-06	-3.8	-5.4	-4.6	-4.6
1.01194311399581e-05	-3.8	-5.4	-4.6	-4.6
1.03872427106647e-05	-3.8	-5.4	-4.6	-4.6
1.06586469372796e-05	-3.8	-5.4	-4.6	-4.6
1.09335738091319e-05	-3.8	-5.4	-4.6	-4.6
1.12119493593666e-05	-3.8	-5.4	-4.6	-4.6
1.14936957104325e-05	-3.8	-5.4	-4.6	-4.6
1.1778731126904e-05	-3.8	-5.4	-4.6	-4.6
1.20669700756148e-05	-3.8	-5.4	-4.6	-4.6
1.23583232930583e-05	-3.8	-5.4	-4.6	-4.6
1.26526978599942e-05	-3.8	-5.4	-4.6	-4.6
1.29499972831785e-05	-3.8	-5.4	-4.6	-4.6
1.3250121584116e-05	-3.8	-5.4	-4.6	-4.6
1.35529673947146e-05	-3.8	-5.4	-4.6	-4.6
1.38584280597034e-05	-3.8	-5.4	-4.6	-4.6
1.41663937456541e-05	-3.8	-5.4	-4.6	-4.6
1.44767515564303e-05	-3.8	-5.4	-4.6	-4.6
1.47893856548704e-05	-3.8	-5.4	-4.6	-4.6
1.5104177390489e-05	-3.8	-5.4	-4.6	-4.6
1.54210054329691e-05	-3.8	-5.4	-4.6	-4.6
1.57397459111976e-05	-3.8	-5.4	-4.6	-4.6
1.60602725575817e-05	-3.8	-5.4	-4.6	-4.6
1.63824568573673e-05	-3.8	-5.4	-4.6	-4.6
1.67061682026681e-05	-3.8	-5.4	-4.6	-4.6
1.70312740508981e-05	-3.8	-5.4	-4.6	-4.6
1.73576400872884e-05	-3.8	-5.4	-4.6	-4.6
1.76851303911565e-05	-3.8	-5.4	-4.6	-4.6
1.80136076055863e-05	-3.8	-5.4	-4.6	-4.6
1.83429331101646e-05	-3.8	-5.4	-4.6	-4.6
1.86729671964143e-05	-3.8	-5.4	-4.6	-4.6
1.90035692455518e-05	-3.8	-5.4	-4.6	-4.6
1.93345979081952e-05	-3.8	-5.4	-4.6	-4.6
1.96659112856364e-05	-3.8	-5.4	-4.6	-4.6
1.99973671122936e-05	-3.8	-5.4	-4.6	-4.6
2.03288229389508e-05	-3.8	-5.4	-4.6	-4.6
2.0660136316392e-05	-3.8	-5.4	-4.6	-4.6
2.09911649790354e-05	-3.8	-5.4	-4.6	-4.6
2.1321767028173e-05	-3.8	-5.4	-4.6	-4.6
2.16518011144226e-05	-3.8	-5.4	-4.6	-4.6
2.19811266190009e-05	-3.8	-5.4	-4.6	-4.6
2.23096038334307e-05	-3.8	-5.4	-4.6	-4.6
2.26370941372988e-05	-3.8	-5.4	-4.6	-4.6
2.29634601736891e-05	-3.8	-5.4	-4.6	-4.6
2.32885660219191e-05	-3.8	-5.4	-4.6	-4.6
2.36122773672199e-05	-3.8	-5.4	-4.6	-4.6
