Voltage	Current, 0 suns	Current, 1 suns	Current, 2 suns	Current, 3 suns
1.196	0.0077422	-0.0083579	-0.024429	-0.040464
1.183	0.0056895	-0.010551	-0.026769	-0.042966
1.17	0.0041579	-0.012184	-0.028515	-0.044832
1.157	0.0030289	-0.013387	-0.029803	-0.046214
1.144	0.0022047	-0.014264	-0.030742	-0.047225
1.131	0.0016039	-0.014901	-0.031424	-0.047955
1.118	0.0011692	-0.015359	-0.031918	-0.048487
1.105	0.0008546	-0.01569	-0.032273	-0.048876
1.092	0.00062707	-0.015929	-0.032534	-0.04916
1.079	0.00046207	-0.016102	-0.032726	-0.049373
1.066	0.00034224	-0.016229	-0.032869	-0.049534
1.053	0.00025483	-0.016324	-0.032979	-0.049661
1.04	0.00019086	-0.016396	-0.033066	-0.049763
1.027	0.00014379	-0.016452	-0.033137	-0.049848
1.014	0.000109	-0.016498	-0.033197	-0.04992
1.001	8.3096e-05	-0.016535	-0.033248	-0.049984
0.988	6.3671e-05	-0.016568	-0.033293	-0.050041
0.975	4.8994e-05	-0.016596	-0.033334	-0.050093
0.962	3.7809e-05	-0.016621	-0.033371	-0.050141
0.949	2.9242e-05	-0.016644	-0.033406	-0.050185
0.936	2.2642e-05	-0.016665	-0.033437	-0.050226
0.923	1.7543e-05	-0.016685	-0.033467	-0.050264
0.91	1.3591e-05	-0.016703	-0.033495	-0.0503
0.897	1.053e-05	-0.016721	-0.033521	-0.050334
0.884	8.1521e-06	-0.016737	-0.033546	-0.050365
0.871	6.3082e-06	-0.016752	-0.033569	-0.050395
0.858	4.8753e-06	-0.016766	-0.03359	-0.050423
0.845	3.7625e-06	-0.01678	-0.033611	-0.050449
0.832	2.8965e-06	-0.016793	-0.03363	-0.050474
0.819	2.2222e-06	-0.016805	-0.033648	-0.050497
0.806	1.6963e-06	-0.016816	-0.033665	-0.050519
0.793	1.2864e-06	-0.016827	-0.033681	-0.050539
0.78	9.6666e-07	-0.016836	-0.033696	-0.050558
0.767	7.18e-07	-0.016845	-0.03371	-0.050576
0.754	5.2657e-07	-0.016854	-0.033723	-0.050593
0.741	3.807e-07	-0.016861	-0.033734	-0.050608
0.728	2.715e-07	-0.016868	-0.033745	-0.050623
0.715	1.9129e-07	-0.016873	-0.033755	-0.050636
0.702	1.335e-07	-0.016879	-0.033764	-0.050648
0.689	9.2489e-08	-0.016883	-0.033771	-0.050659
0.676	6.3863e-08	-0.016887	-0.033779	-0.050669
0.663	4.4036e-08	-0.016891	-0.033785	-0.050678
0.65	3.0392e-08	-0.016894	-0.03379	-0.050686
0.637	2.1035e-08	-0.016897	-0.033795	-0.050693
0.624	1.4623e-08	-0.016899	-0.0338	-0.050699
0.611	1.0221e-08	-0.016901	-0.033803	-0.050705
0.598	7.1924e-09	-0.016903	-0.033807	-0.05071
0.585	5.0981e-09	-0.016904	-0.03381	-0.050715
0.572	3.6437e-09	-0.016906	-0.033813	-0.050719
0.559	2.6264e-09	-0.016907	-0.033815	-0.050722
0.546	1.9104e-09	-0.016908	-0.033817	-0.050725
0.533	1.4024e-09	-0.016909	-0.033819	-0.050728
0.52	1.0387e-09	-0.01691	-0.033821	-0.050731
0.507	7.7623e-10	-0.016911	-0.033822	-0.050733
0.494	5.8486e-10	-0.016912	-0.033824	-0.050735
0.481	4.4388e-10	-0.016912	-0.033825	-0.050737
0.468	3.3896e-10	-0.016913	-0.033826	-0.050739
0.455	2.6003e-10	-0.016914	-0.033827	-0.050741
0.442	2.0001e-10	-0.016914	-0.033828	-0.050742
0.429	1.5389e-10	-0.016914	-0.033829	-0.050743
0.416	1.1806e-10	-0.016915	-0.03383	-0.050744
0.403	8.9966e-11	-0.016915	-0.03383	-0.050745
0.39	6.7711e-11	-0.016915	-0.033831	-0.050746
0.377	4.9929e-11	-0.016916	-0.033831	-0.050747
0.364	3.5603e-11	-0.016916	-0.033832	-0.050748
0.351	2.3973e-11	-0.016916	-0.033832	-0.050748
0.338	1.4467e-11	-0.016916	-0.033833	-0.050749
0.325	6.6518e-12	-0.016917	-0.033833	-0.05075
0.312	1.9118e-13	-0.016917	-0.033833	-0.05075
0.299	-5.1728e-12	-0.016917	-0.033834	-0.050751
0.286	-9.6439e-12	-0.016917	-0.033834	-0.050751
0.273	-1.3381e-11	-0.016917	-0.033834	-0.050751
0.26	-1.6512e-11	-0.016917	-0.033834	-0.050752
0.247	-1.9137e-11	-0.016917	-0.033835	-0.050752
0.234	-2.1338e-11	-0.016917	-0.033835	-0.050752
0.221	-2.318e-11	-0.016918	-0.033835	-0.050752
0.208	-2.4716e-11	-0.016918	-0.033835	-0.050753
0.195	-2.5988e-11	-0.016918	-0.033835	-0.050753
0.182	-2.7032e-11	-0.016918	-0.033835	-0.050753
0.169	-2.7878e-11	-0.016918	-0.033836	-0.050753
0.156	-2.8551e-11	-0.016918	-0.033836	-0.050753
0.143	-2.9074e-11	-0.016918	-0.033836	-0.050754
0.13	-2.9467e-11	-0.016918	-0.033836	-0.050754
0.117	-2.9747e-11	-0.016918	-0.033836	-0.050754
0.104	-2.9933e-11	-0.016918	-0.033836	-0.050754
0.091	-3.004e-11	-0.016918	-0.033836	-0.050754
0.078	-3.0082e-11	-0.016918	-0.033836	-0.050754
0.065	-3.007e-11	-0.016918	-0.033836	-0.050754
0.052	-3.0016e-11	-0.016918	-0.033836	-0.050754
0.039	-2.9929e-11	-0.016918	-0.033836	-0.050754
0.026	-2.9816e-11	-0.016918	-0.033836	-0.050754
0.013	-2.9683e-11	-0.016918	-0.033836	-0.050755
0	-2.9536e-11	-0.016918	-0.033836	-0.050755
-0.013	-2.9378e-11	-0.016918	-0.033836	-0.050755
-0.026	-2.9213e-11	-0.016918	-0.033837	-0.050755
-0.039	-2.9044e-11	-0.016918	-0.033837	-0.050755
-0.052	-2.8871e-11	-0.016918	-0.033837	-0.050755
-0.065	-2.8697e-11	-0.016918	-0.033837	-0.050755
-0.078	-2.8523e-11	-0.016918	-0.033837	-0.050755
-0.091	-2.8349e-11	-0.016918	-0.033837	-0.050755
-0.104	-2.8176e-11	-0.016918	-0.033837	-0.050755
-0.117	-2.8004e-11	-0.016918	-0.033837	-0.050755
-0.13	-2.7833e-11	-0.016918	-0.033837	-0.050755
-0.143	-2.7664e-11	-0.016918	-0.033837	-0.050755
-0.156	-2.7498e-11	-0.016918	-0.033837	-0.050755
-0.169	-2.7333e-11	-0.016918	-0.033837	-0.050755
-0.182	-2.717e-11	-0.016918	-0.033837	-0.050755
-0.195	-2.7009e-11	-0.016918	-0.033837	-0.050755
-0.208	-2.685e-11	-0.016918	-0.033837	-0.050755
-0.221	-2.6694e-11	-0.016918	-0.033837	-0.050755
-0.234	-2.654e-11	-0.016918	-0.033837	-0.050755
