Position  (cm)	V (V)	n (cm-3)	p (cm-3)
9.27982424562175e-07	1.55105225928414e-11	2.08964912463212e+17	6.32558261084876e-07
9.63898920214557e-07	1.56638535432589e-11	2.08964912437214e+17	6.32558260619344e-07
1.00092651848324e-06	1.5760049231301e-11	2.08964912411229e+17	6.32558260256429e-07
1.03909036297655e-06	1.57905285681279e-11	2.08964912385383e+17	6.32558260010311e-07
1.07841581101817e-06	1.57459244771392e-11	2.08964912359806e+17	6.32558259896267e-07
1.11892842150705e-06	1.56160297616559e-11	2.08964912334641e+17	6.32558259930684e-07
1.16065394220993e-06	1.53898026239317e-11	2.08964912310036e+17	6.32558260131074e-07
1.20361829648488e-06	1.50553153696414e-11	2.08964912286147e+17	6.32558260516067e-07
1.24784756943508e-06	1.45997346030572e-11	2.08964912263137e+17	6.32558261105357e-07
1.29336799349282e-06	1.40093014136157e-11	2.08964912241175e+17	6.32558261919693e-07
1.34020593343452e-06	1.32693740554254e-11	2.08964912220433e+17	6.32558262980763e-07
1.38838787082855e-06	1.23643280848229e-11	2.08964912201088e+17	6.32558264311136e-07
1.43794038791832e-06	1.12776721137556e-11	2.08964912183318e+17	6.32558265934092e-07
1.48889015094427e-06	9.99201846676406e-12	2.08964912167305e+17	6.32558267873513e-07
1.54126389290908e-06	8.48909827584206e-12	2.08964912153226e+17	6.32558270153647e-07
1.59508839579139e-06	6.74985071450182e-12	2.08964912141257e+17	6.32558272798896e-07
1.65039047221459e-06	4.75449632511798e-12	2.08964912131572e+17	6.32558275833557e-07
1.70719694657769e-06	2.48253156364275e-12	2.08964912124337e+17	6.32558279281496e-07
1.76553463565681e-06	-8.70399315133683e-14	2.08964912119709e+17	6.32558283165796e-07
1.8254303286864e-06	-2.97572428218322e-12	2.08964912117838e+17	6.32558287508405e-07
1.88691076693063e-06	-6.20532136767631e-12	2.0896491211886e+17	6.32558292329661e-07
1.95000262275624e-06	-9.79780019934125e-12	2.08964912122897e+17	6.32558297647912e-07
2.01473247821923e-06	-1.37751031600514e-11	2.08964912130055e+17	6.32558303478907e-07
2.08112680317883e-06	-1.81590014231214e-11	2.08964912140424e+17	6.32558309835446e-07
2.14921193295323e-06	-2.29708696160053e-11	2.0896491215407e+17	6.32558316726646e-07
2.21901404553247e-06	-2.82313696760741e-11	2.08964912171042e+17	6.3255832415758e-07
2.29055913836531e-06	-3.39603643931588e-11	2.08964912191363e+17	6.32558332128631e-07
2.36387300473738e-06	-4.01765930063657e-11	2.0896491221503e+17	6.32558340634977e-07
2.43898120975948e-06	-4.68972951913616e-11	2.08964912242017e+17	6.32558349666151e-07
2.5159090659857e-06	-5.41380980464469e-11	2.08964912272268e+17	6.32558359205418e-07
2.59468160868202e-06	-6.19125583205335e-11	2.089649123057e+17	6.32558369229464e-07
2.67532357076715e-06	-7.02319767847161e-11	2.08964912342202e+17	6.32558379708e-07
2.75785935744839e-06	-7.91050603787417e-11	2.08964912381634e+17	6.3255839060349e-07
2.84231302057633e-06	-8.85375982080648e-11	2.08964912423829e+17	6.32558401870919e-07
2.92870823274291e-06	-9.85323052105054e-11	2.08964912468589e+17	6.32558413457848e-07
3.01706826114874e-06	-1.09088389336378e-10	2.0896491251569e+17	6.32558425304351e-07
3.10741594126617e-06	-1.20201342236989e-10	2.08964912564883e+17	6.32558437343249e-07
