Voltage	Current, 0 suns
-0.804	-132.542
-0.816	-141.0451
-0.828	-149.6324
-0.84	-158.2995
-0.852	-167.0378
-0.864	-175.8438
-0.876	-184.7108
-0.888	-193.6348
-0.9	-202.6105
-0.912	-211.6366
-0.924	-220.7077
-0.936	-229.8212
-0.948	-238.9754
-0.96	-248.1665
-0.972	-257.3934
-0.984	-266.6533
-0.996	-275.9441
-1.008	-285.2648
-1.02	-294.6129
-1.032	-303.9874
-1.044	-313.3868
-1.056	-322.8094
-1.068	-332.255
-1.08	-341.7217
-1.092	-351.2081
-1.104	-360.7141
-1.116	-370.2382
-1.128	-379.7791
-1.14	-389.3371
-1.152	-398.9109
-1.164	-408.4996
-1.176	-418.1029
-1.188	-427.7202
-1.2	-437.3132
-1.188	-427.7202
-1.176	-418.103
-1.164	-408.4997
-1.152	-398.9108
-1.14	-389.3371
-1.128	-379.7792
-1.116	-370.238
-1.104	-360.7139
-1.092	-351.2083
-1.08	-341.722
-1.068	-332.2555
-1.056	-322.81
-1.044	-313.3874
-1.032	-303.9882
-1.02	-294.6135
-1.008	-285.265
-0.996	-275.9448
-0.984	-266.6538
-0.972	-257.3932
-0.96	-248.1666
-0.948	-238.9754
-0.936	-229.8211
-0.924	-220.7058
-0.912	-211.6347
-0.9	-202.6095
-0.888	-193.6333
-0.876	-184.7098
-0.864	-175.8437
-0.852	-167.0388
-0.84	-158.2994
-0.828	-149.6321
-0.816	-141.0447
-0.804	-132.5426
-0.792	-124.1331
-0.78	-115.8272
-0.768	-107.6353
-0.756	-99.5667
-0.744	-91.6326
-0.732	-83.8539
-0.72	-76.2515
-0.708	-68.8381
-0.696	-61.6414
-0.684	-54.6881
-0.672	-48.0099
-0.66	-41.6428
-0.648	-35.6268
-0.636	-30.0057
-0.624	-24.8268
-0.612	-20.1364
-0.6	-15.9774
-0.588	-12.38
-0.576	-9.3573
-0.564	-6.8983
-0.552	-4.9649
-0.54	-3.4958
-0.528	-2.4166
-0.516	-1.6433
-0.504	-1.1034
