Position  (cm)	V (V)	n (cm-3)	p (cm-3)
1.82473783051535e-06	-1.6774772778415e-28	363569.099624573	363569.101242582
1.90706867905039e-06	-8.69565073610615e-29	363569.099648837	363569.101486733
1.99228003613594e-06	-1.92234771469068e-28	363569.099674014	363569.101755515
2.08043477968905e-06	-1.75225728572217e-28	363569.099700126	363569.102050881
2.17159538592389e-06	-7.07309327655879e-29	363569.099727196	363569.10237487
2.26582383364459e-06	-2.1407096517853e-29	363569.099755246	363569.102729692
2.36318150614464e-06	-4.35953502211495e-29	363569.099784296	363569.103117557
2.46372909084615e-06	-3.46621167671037e-29	363569.099814366	363569.103540684
2.56752647682258e-06	-3.85601989745435e-29	363569.099845479	363569.104001334
2.67463265035895e-06	-2.81187312624492e-28	363569.09987765	363569.104501987
2.78510558871364e-06	-1.91687036992884e-28	363569.099910902	363569.105044836
2.89900215225601e-06	-8.18104225496588e-29	363569.099945248	363569.105632495
3.01637797516386e-06	-7.74193022764559e-29	363569.099980706	363569.106267132
3.13728735487404e-06	-1.52056020969261e-28	363569.100017289	363569.106951471
3.26178314048938e-06	-1.64138535068369e-28	363569.10005501	363569.107687899
3.38991662035326e-06	-3.52429772383309e-29	363569.100093882	363569.108478113
3.52173740901234e-06	-4.58648660676154e-29	363569.100133914	363569.109324924
3.65729333379584e-06	-4.43117961604615e-29	363569.100175114	363569.110230113
3.7966303212473e-06	-2.20366444980743e-28	363569.100217486	363569.111196151
3.93979228365218e-06	-2.20403422835675e-28	363569.100261033	363569.11222409
4.08682100591124e-06	-3.0196116337663e-28	363569.100305757	363569.113316081
4.23775603301552e-06	-1.95206096187268e-28	363569.100351656	363569.11447341
4.39263455838445e-06	-3.07017885038614e-28	363569.100398725	363569.115697419
4.55149131333325e-06	-3.15622940030136e-28	363569.100446958	363569.116988869
4.71435845793999e-06	-3.9305302751428e-28	363569.100496342	363569.118348191
4.88126547358603e-06	-7.64455520965737e-29	363569.100546862	363569.119775847
5.05223905744625e-06	-1.10976705627459e-28	363569.100598506	363569.121271378
5.22730301920734e-06	-2.20520519376294e-28	363569.100651249	363569.122835572
5.40647818029363e-06	-2.04626204731255e-28	363569.100705068	363569.124466381
5.58978227587994e-06	-1.98583406937746e-28	363569.100759934	363569.12616275
5.77722985997065e-06	-8.05439310182297e-29	363569.100815815	363569.127923222
5.96883221382252e-06	-7.27677962747718e-29	363569.100872679	363569.129746164
6.16459725798662e-06	-1.23681680284593e-28	363569.100930482	363569.131628473
