Position  (cm)	Ecb (eV)	Evb (eV)	Efn (eV)	Efp (eV)
5.09630713582301e-06	-3.8	-5.4	-4.6	-4.6
5.22798920078386e-06	-3.8	-5.4	-4.6	-4.6
5.36198387437138e-06	-3.8	-5.4	-4.6	-4.6
5.49829880576723e-06	-3.8	-5.4	-4.6	-4.6
5.63694064494978e-06	-3.8	-5.4	-4.6	-4.6
5.77791502065126e-06	-3.8	-5.4	-4.6	-4.6
5.92122651893456e-06	-3.8	-5.4	-4.6	-4.6
6.06687866242651e-06	-3.8	-5.4	-4.6	-4.6
6.21487389024361e-06	-3.8	-5.4	-4.6	-4.6
6.36521353864642e-06	-3.8	-5.4	-4.6	-4.6
6.51789782245768e-06	-3.8	-5.4	-4.6	-4.6
6.67292581727915e-06	-3.8	-5.4	-4.6	-4.6
6.8302954425414e-06	-3.8	-5.4	-4.6	-4.6
6.99000344541999e-06	-3.8	-5.4	-4.6	-4.6
7.15204538565092e-06	-3.8	-5.4	-4.6	-4.6
7.31641562127722e-06	-3.8	-5.4	-4.6	-4.6
7.48310729535781e-06	-3.8	-5.4	-4.6	-4.6
7.65211232366876e-06	-3.8	-5.4	-4.6	-4.6
7.82342138342606e-06	-3.8	-5.4	-4.6	-4.6
7.99702390305782e-06	-3.8	-5.4	-4.6	-4.6
8.17290805305299e-06	-3.8	-5.4	-4.6	-4.6
8.35106073791205e-06	-3.8	-5.4	-4.6	-4.6
8.5314675892243e-06	-3.8	-5.4	-4.6	-4.6
8.7141129598946e-06	-3.8	-5.4	-4.6	-4.6
8.89897991954149e-06	-3.8	-5.4	-4.6	-4.6
9.08605025108686e-06	-3.8	-5.4	-4.6	-4.6
9.27530444855591e-06	-3.8	-5.4	-4.6	-4.6
9.46672171610474e-06	-3.8	-5.4	-4.6	-4.6
9.66027996829117e-06	-3.8	-5.4	-4.6	-4.6
9.85595583160292e-06	-3.8	-5.4	-4.6	-4.6
1.00537246472553e-05	-3.8	-5.4	-4.6	-4.6
1.02535604752692e-05	-3.8	-5.4	-4.6	-4.6
1.04554360998386e-05	-3.8	-5.4	-4.6	-4.6
1.06593230359935e-05	-3.8	-5.4	-4.6	-4.6
1.08651915375659e-05	-3.8	-5.4	-4.6	-4.6
1.10730106064588e-05	-3.8	-5.4	-4.6	-4.6
1.12827480032239e-05	-3.8	-5.4	-4.6	-4.6
1.14943702589441e-05	-3.8	-5.4	-4.6	-4.6
1.17078426884207e-05	-3.8	-5.4	-4.6	-4.6
1.19231294046606e-05	-3.8	-5.4	-4.6	-4.6
1.21401933346571e-05	-3.8	-5.4	-4.6	-4.6
1.23589962364568e-05	-3.8	-5.4	-4.6	-4.6
1.25794987175023e-05	-3.8	-5.4	-4.6	-4.6
1.28016602542393e-05	-3.8	-5.4	-4.6	-4.6
1.30254392129732e-05	-3.8	-5.4	-4.6	-4.6
1.32507928719611e-05	-3.8	-5.4	-4.6	-4.6
1.34776774447197e-05	-3.8	-5.4	-4.6	-4.6
1.37060481045315e-05	-3.8	-5.4	-4.6	-4.6
1.39358590101256e-05	-3.8	-5.4	-4.6	-4.6
1.4167063332512e-05	-3.8	-5.4	-4.6	-4.6
1.4399613282943e-05	-3.8	-5.4	-4.6	-4.6
1.46334601419745e-05	-3.8	-5.4	-4.6	-4.6
1.48685542896001e-05	-3.8	-5.4	-4.6	-4.6
1.51048452364254e-05	-3.8	-5.4	-4.6	-4.6
1.53422816558524e-05	-3.8	-5.4	-4.6	-4.6
1.5580811417239e-05	-3.8	-5.4	-4.6	-4.6
1.58203816199984e-05	-3.8	-5.4	-4.6	-4.6
1.60609386286027e-05	-3.8	-5.4	-4.6	-4.6
1.63024281084502e-05	-3.8	-5.4	-4.6	-4.6
1.65447950625587e-05	-3.8	-5.4	-4.6	-4.6
1.67879838690426e-05	-3.8	-5.4	-4.6	-4.6
1.70319383193312e-05	-3.8	-5.4	-4.6	-4.6
1.72766016570859e-05	-3.8	-5.4	-4.6	-4.6
1.75219166177687e-05	-3.8	-5.4	-4.6	-4.6
1.776782546882e-05	-3.8	-5.4	-4.6	-4.6
1.80142700503945e-05	-3.8	-5.4	-4.6	-4.6
1.82611918166109e-05	-3.8	-5.4	-4.6	-4.6
1.85085318772648e-05	-3.8	-5.4	-4.6	-4.6
1.87562310399549e-05	-3.8	-5.4	-4.6	-4.6
1.90042298525741e-05	-3.8	-5.4	-4.6	-4.6
1.92524686461131e-05	-3.8	-5.4	-4.6	-4.6
1.95008875777254e-05	-3.8	-5.4	-4.6	-4.6
1.97494266740029e-05	-3.8	-5.4	-4.6	-4.6
1.99980258744083e-05	-3.8	-5.4	-4.6	-4.6
2.02466250748138e-05	-3.8	-5.4	-4.6	-4.6
2.04951641710913e-05	-3.8	-5.4	-4.6	-4.6
2.07435831027036e-05	-3.8	-5.4	-4.6	-4.6
2.09918218962426e-05	-3.8	-5.4	-4.6	-4.6
2.12398207088618e-05	-3.8	-5.4	-4.6	-4.6
2.14875198715519e-05	-3.8	-5.4	-4.6	-4.6
2.17348599322057e-05	-3.8	-5.4	-4.6	-4.6
2.19817816984222e-05	-3.8	-5.4	-4.6	-4.6
2.22282262799967e-05	-3.8	-5.4	-4.6	-4.6
2.2474135131048e-05	-3.8	-5.4	-4.6	-4.6
2.27194500917308e-05	-3.8	-5.4	-4.6	-4.6
2.29641134294855e-05	-3.8	-5.4	-4.6	-4.6
2.32080678797741e-05	-3.8	-5.4	-4.6	-4.6
2.3451256686258e-05	-3.8	-5.4	-4.6	-4.6
2.36936236403665e-05	-3.8	-5.4	-4.6	-4.6
2.3935113120214e-05	-3.8	-5.4	-4.6	-4.6
2.41756701288183e-05	-3.8	-5.4	-4.6	-4.6
2.44152403315777e-05	-3.8	-5.4	-4.6	-4.6
2.46537700929643e-05	-3.8	-5.4	-4.6	-4.6
2.48912065123913e-05	-3.8	-5.4	-4.6	-4.6
2.51274974592166e-05	-3.8	-5.4	-4.6	-4.6
2.53625916068422e-05	-3.8	-5.4	-4.6	-4.6
2.55964384658737e-05	-3.8	-5.4	-4.6	-4.6
2.58289884163047e-05	-3.8	-5.4	-4.6	-4.6
2.60601927386911e-05	-3.8	-5.4	-4.6	-4.6
2.62900036442852e-05	-3.8	-5.4	-4.6	-4.6
2.6518374304097e-05	-3.8	-5.4	-4.6	-4.6
2.67452588768556e-05	-3.8	-5.4	-4.6	-4.6
2.69706125358435e-05	-3.8	-5.4	-4.6	-4.6
2.71943914945774e-05	-3.8	-5.4	-4.6	-4.6
2.74165530313144e-05	-3.8	-5.4	-4.6	-4.6
2.76370555123599e-05	-3.8	-5.4	-4.6	-4.6
2.78558584141596e-05	-3.8	-5.4	-4.6	-4.6
2.80729223441561e-05	-3.8	-5.4	-4.6	-4.6
2.8288209060396e-05	-3.8	-5.4	-4.6	-4.6
2.85016814898726e-05	-3.8	-5.4	-4.6	-4.6
2.87133037455928e-05	-3.8	-5.4	-4.6	-4.6
2.89230411423579e-05	-3.8	-5.4	-4.6	-4.6
2.91308602112508e-05	-3.8	-5.4	-4.6	-4.6
2.93367287128232e-05	-3.8	-5.4	-4.6	-4.6
2.95406156489781e-05	-3.8	-5.4	-4.6	-4.6
2.97424912735475e-05	-3.8	-5.4	-4.6	-4.6
2.99423271015614e-05	-3.8	-5.4	-4.6	-4.6
