Position  (cm)	V (V)	n (cm-3)	p (cm-3)
3.65024281084502e-05	0.249462597135096	16638661.4719302	7015.74429446694
3.67447950625587e-05	0.251488849876938	17995975.2049635	6486.59571308056
3.69879838690426e-05	0.253521973525153	19469194.8194148	5995.76090115768
3.72319383193312e-05	0.255561498161021	21068241.8322242	5540.69293415008
3.74766016570859e-05	0.257606949286336	22803857.3171415	5118.98836779069
3.77219166177687e-05	0.259657848154212	24687663.953104	4728.38184957161
3.796782546882e-05	0.261713712104974	26732231.9619686	4366.74065238872
3.82142700503945e-05	0.263774054906728	28951149.0742551	4032.05916695548
3.8461191816611e-05	0.265838387100216	31359094.6524671	3722.45338629209
3.87085318772648e-05	0.267906216347544	33971918.090118	3436.15541236084
3.89562310399549e-05	0.269977047784375	36806721.5905715	3171.508011769
3.92042298525741e-05	0.272050384375163	39881947.4129887	2926.95924441829
3.94524686461131e-05	0.274125727271001	43217469.6528255	2701.05718606336
3.97008875777254e-05	0.276202576169657	46834690.6012319	2492.44476296468
3.99494266740029e-05	0.278280429677373	50756641.7011399	2299.85471419479
4.01980258744084e-05	0.280358785671968	55008089.0875978	2122.10469469124
4.04466250748138e-05	0.28243714166683	59615643.6658155	1958.09252984718
4.06951641710913e-05	0.284514995175351	64607875.6422701	1806.79163029783
4.09435831027036e-05	0.286591844075356	70015433.3819314	1667.24657359626
4.11918218962426e-05	0.288667186973089	75871166.4181007	1538.5688576758
4.14398207088618e-05	0.290740523566333	82210252.3904361	1419.9328293647
4.16875198715519e-05	0.292811355006194	89070327.631435	1310.57178974855
4.19348599322057e-05	0.29487918425714	96491621.0619879	1209.77427686036
4.21817816984222e-05	0.296943516454855	104517090.992679	1116.88052501252
4.24282262799967e-05	0.299003859261468	113192564.359441	1031.27909905957
4.2674135131048e-05	0.301059723217746	122566877.850182	952.403700990202
4.29194500917308e-05	0.303110622091824	132692020.303405	879.730145481044
4.31641134294855e-05	0.305156073224059	143623275.680952	812.773500396044
4.34080678797741e-05	0.307195597867601	155419365.835403	751.085387674514
4.3651256686258e-05	0.309228721524281	168142592.208762	694.25143960953
4.38936236403665e-05	0.311254974275424	181858975.513624	641.888905167731
4.4135113120214e-05	0.313273891107201	196638392.361774	593.6444007332
4.43756701288183e-05	0.315285012230145	212554707.71891	549.191799463946
4.46152403315777e-05	0.317287883392472	229685901.978941	508.230253321625
4.48537700929643e-05	0.319282056186845	248114191.368098	470.482341765991
4.50912065123913e-05	0.321267088350235	267926140.308997	435.692341088418
4.53274974592166e-05	0.323242544056561	289212764.299172	403.624608386552
4.55625916068422e-05	0.325207994201769	312069621.788549	374.062074249117
4.57964384658737e-05	0.327163016681057	336596893.477464	346.804838319924
4.60289884163047e-05	0.329107196657941	362899447.402309	321.668862038271
4.62601927386911e-05	0.331040126824884	391086888.131427	298.484753004205
4.64900036442852e-05	0.332961407655223	421273588.360692	277.096635587262
4.6718374304097e-05	0.334870647646133	453578701.177985	257.361102582319
4.69452588768556e-05	0.336767463552388	488126151.259877	239.146242912583
4.71706125358435e-05	0.338651480610701	525044603.273566	222.330740584364
4.73943914945774e-05	0.340522332754431	564467405.784011	206.803040308357
4.76165530313144e-05	0.342379662818451	606532509.011316	192.460575415236
4.78370555123599e-05	0.344223122734017	651382354.847872	179.209053907405
4.80558584141596e-05	0.346052373713455	699163737.629623	166.961798701817
4.82729223441561e-05	0.347867086424533	750027634.261598	155.639138329445
4.8488209060396e-05	0.349666941154382	804129002.425383	145.167844563884
4.87016814898726e-05	0.351451627962842	861626545.745499	135.480613653607
4.89133037455928e-05	0.353220846825146	922682444.962963	126.515588028758
4.91230411423579e-05	0.354974307763856	987462054.357281	118.215915543303
4.93308602112508e-05	0.356711730969975	1056133562.87223	110.529343496323
4.95367287128232e-05	0.358432846913195	1128867619.63514	103.407844851901
4.97406156489781e-05	0.360137396441245	1205836923.81281	96.8072742450239
4.99424912735475e-05	0.361825130868309	1287215779.0182	90.6870515211718
5.01423271015614e-05	0.363495812052534	1373179612.76867	85.0098707095736
5.03400959172138e-05	0.365149212462611	1463904461.79649	79.7414324746304
5.05357717805255e-05	0.366785115233492	1559566424.32364	74.8501982266468
5.0729330032712e-05	0.368403314211256	1660341080.73195	70.3071642020572
5.09207473002608e-05	0.370003613987201	1766402884.3839	66.0856539448317
5.11100014977298e-05	0.371585829921238	1877924524.67557	62.1611277349761
5.12970718292752e-05	0.373149788154663	1995076264.72715	58.511007617222
5.14819387889221e-05	0.374695325612419	2118025256.43548	55.114516783378
5.16645841595924e-05	0.376222289994972	2246934835.92232	51.9525321556954
5.18449910109047e-05	0.37773053975991	2381963802.70811	49.0074491062493
5.20231436957637e-05	0.379219944093437	2523265686.22045	46.2630573290513
5.21990278457589e-05	0.380690382871897	2670988003.50437	43.7044269577055
5.23726303653906e-05	0.382141746613508	2825271512.23513	41.3178040921778
5.25439394251479e-05	0.383573936420485	2986249463.33934	39.0905149639624
5.27129444534589e-05	0.384986863911746	3154046857.70385	37.010878029914
5.28796361275395e-05	0.386380451146402	3328779711.5907	35.068123341513
5.30440063631658e-05	0.387754630538255	3510554335.47769	33.2523185886604
5.32060483033967e-05	0.389109344761509	3699466631.10582	31.5543012654922
5.33657563062753e-05	0.390444546647954	3895601411.53464	29.9656164504291
5.35231259315376e-05	0.391760199075849	4099031748.98343	28.4784597339839
5.3678153926359e-05	0.393056274850753	4309818355.16837	27.0856248659555
5.38308382101703e-05	0.394332756578585	4528008998.7344	25.7804557287771
5.39811778585731e-05	0.395589636531152	4753637964.22401	24.5568022761635
5.41291730863902e-05	0.396826916504447	4986725556.82533	23.4089801060123
5.42748252298821e-05	0.398044607669969	5227277656.90013	22.3317333639481
5.44181367281654e-05	0.399242730419381	5475285328.00893	21.3202006991325
5.45591111038669e-05	0.400421314202769	5730724481.83051	20.3698840171522
5.46977529430495e-05	0.401580397360819	5993555603.01612	19.4766197961113
5.48340678744453e-05	0.402720026951201	6263723536.63135	18.6365527516226
5.49680625480328e-05	0.403840258569465	6541157340.42183	17.8461116543566
5.50997446129937e-05	0.404941156164755	6825770203.69886	17.101987120293
5.52291226950871e-05	0.406022791850655	7117459434.18107	16.4011112089399
5.53562063734784e-05	0.407085245711466	7416106513.65323	15.7406386786501
5.5481006157059e-05	0.408128605604239	7721577222.81858	15.1179297608756
